level,model,kind,count,latencyMeanSec,latencyRawMeanSec,latencyMedianSec,queueMeanSec,serviceMeanSec,serviceRawMeanSec,serviceMedianSec,serviceStdSec,serviceCv,localNetworkCompensationMeanSec,stage,meanMs,medianMs,minMs,maxMs
stage,DPKI,cross-domain,7020,,,,,,,,,,,dpkiOnchainOpenSslVerifyCert,9.192514444518292,9.09010000526905,8.252700001001358,14.419999986886978
stage,DPKI,cross-domain,7020,,,,,,,,,,,dpkiOnchainRootRead,2.134096040043905,1.839699998497963,1.432699978351593,28.03360000252724
stage,DPKI,intra-off-chain,11466,,,,,,,,,,,dpkiAuthSignature,1.6741557126813131,1.640199989080429,1.535400003194809,4.031399995088577
stage,DPKI,intra-off-chain,11466,,,,,,,,,,,dpkiChainRootRead,2.12301464333348,1.8537999987602236,1.433100014925003,39.840400010347366
stage,DPKI,intra-off-chain,11466,,,,,,,,,,,dpkiMptProofHttpQuery,2.193706837466993,2.0830000042915344,1.808999985456467,11.797199994325638
stage,DPKI,intra-off-chain,11466,,,,,,,,,,,dpkiMptProofResponseVerify,0.4243722830572699,0.4183000028133392,0.3188000023365021,3.1662999987602234
stage,DPKI,intra-off-chain,11466,,,,,,,,,,,dpkiMptProofSignerCertVerify,9.155357090659152,9.079550012946129,8.1875,27.71450001001358
stage,DPKI,intra-off-chain,11466,,,,,,,,,,,dpkiMptVerify,0.3438079626397398,0.3308999985456466,0.3030000030994415,1.1771000027656555
stage,DPKI,intra-off-chain,11466,,,,,,,,,,,dpkiOffchainAssertionSign,17.252017730745308,17.185099989175797,14.74679997563362,233.22909998893735
stage,DPKI,intra-off-chain,11466,,,,,,,,,,,dpkiOffchainAssertionVerify,9.205198368848087,9.003550007939339,8.204600006341934,130.2999999821186
stage,DPKI,intra-off-chain,11466,,,,,,,,,,,dpkiOpenSslVerifyCert,9.12550016566552,9.0174999833107,8.088399976491928,15.41899999976158
stage,DPKI,intra-on-chain,4914,,,,,,,,,,,dpkiOnchainAssertionSign,17.279919556572906,17.24015000462532,14.811899989843369,101.38980001211166
stage,DPKI,intra-on-chain,4914,,,,,,,,,,,dpkiOnchainAssertionVerify,9.204496601580557,9.033000007271768,8.250900000333786,98.22420001029968
stage,DPKI,intra-on-chain,4914,,,,,,,,,,,dpkiOnchainAuthenticateTx,50.419740577684365,43.353050008416176,10.035999983549118,237.77070000767708
stage,DPKI,intra-on-chain,4914,,,,,,,,,,,dpkiOnchainAuthSignature,1.675151709586952,1.6410000026226044,1.536400020122528,4.030900001525879
stage,DPKI,intra-on-chain,4914,,,,,,,,,,,dpkiOnchainMptProofHttpQuery,1.9948120673024463,1.9449999928474424,1.7910999953746796,5.152500003576279
stage,DPKI,intra-on-chain,4914,,,,,,,,,,,dpkiOnchainMptProofResponseVerify,0.4217807895522512,0.417600005865097,0.3203999996185303,1.923200011253357
stage,DPKI,intra-on-chain,4914,,,,,,,,,,,dpkiOnchainMptProofSignerCertVerify,9.413170858853755,9.32260000705719,8.83390000462532,14.278400003910065
stage,DPKI,intra-on-chain,4914,,,,,,,,,,,dpkiOnchainMptVerify,0.3610024625116312,0.3385000079870224,0.3012999892234802,2.396899998188019
stage,DPKI,intra-on-chain,4914,,,,,,,,,,,dpkiOnchainOpenSslVerifyCert,9.170758526579704,9.07234999537468,8.227999985218048,15.58780002593994
stage,DPKI,intra-on-chain,4914,,,,,,,,,,,dpkiOnchainRootRead,2.1102009359224083,1.8381000012159348,1.3705999851226809,22.266000002622604
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementBuildMpt,2.543445961601459,2.361849993467331,2.171400010585785,5.194800019264221
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementIssueCertificate,80.49053042330421,76.83074997365475,52.61630001664162,220.93909999728203
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementIssuerAssertionSign,17.277339422645476,17.23224999010563,14.526100009679794,38.04330000281334
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementIssuerAssertionVerify,9.251723846242978,9.050599992275238,8.253100007772446,83.30349999666214
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementLeafAssertionSign,17.320858384175942,17.200949996709824,14.587599992752075,130.9205999970436
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementLeafAssertionVerify,9.269562999789532,9.01264999806881,8.243000000715256,93.35189998149872
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementOpenSslIssueCsr,17.06745273066255,16.921550005674362,15.93079999089241,24.622399985790253
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementOpenSslIssueExtractPubkey,8.833350192296963,8.72630000114441,7.915399998426437,16.18580001592636
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementOpenSslIssueKeygen,40.1191785001067,36.55945001542568,14.714300006628036,170.47490000724792
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementOpenSslIssueSignCert,13.196672230890163,12.84935000538826,11.83280000090599,139.46000000834465
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementOpenSslVerifyIssuerCA,8.806242692745649,8.697999998927116,7.917800009250641,13.696999996900558
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementOpenSslVerifyLeaf,9.11022538493459,9.008750006556513,8.225099980831146,17.433899998664856
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementPutCertAndRootTx,50.7172774617374,45.51720000803471,10.111600011587145,171.5392999947071
stage,DPKI,management,2600,,,,,,,,,,,dpkiManagementVerifyRepositoryUpdateLocal,0.0059600770244231,0.0058999955654144,0.0038999915122985,0.0753999948501586
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiLeafAssertionSign,17.24411743611437,17.20414999127388,14.674800008535383,149.42309999465942
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiLeafAssertionVerify,9.1970645443072,8.9476999938488,8.214599996805191,133.6875999867916
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiLeafOcspHttpQuery,13.409324814731578,11.689300000667572,10.749400019645693,142.7260999977589
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiOpenSslVerifyLeaf,8.804063774836369,8.71000000834465,7.687600016593933,14.205900013446808
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiOpenSslVerifyRootCA,8.70177031327092,8.60920000076294,7.660800009965897,15.089800000190737
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiOpenSslVerifySourceCA,8.78353145300408,8.68240001797676,7.692999988794327,15.361099988222122
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiOpenSslVerifyTargetCA,8.79104994311292,8.695999994874,7.742599993944168,15.335199981927872
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiRootCAAssertionSign,17.23513843325893,17.199849992990494,14.594899982213974,138.05759999155998
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiRootCAAssertionVerify,9.083890213696366,8.939750000834465,8.204199999570847,57.72269999980927
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiRootCAOcspHttpQuery,13.356028091347117,11.646949991583824,10.575199991464617,142.57379999756813
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiSourceCAAssertionSign,17.283102364689537,17.211649999022484,14.684900015592577,148.21500000357628
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiSourceCAAssertionVerify,9.170878689385887,8.943149998784065,8.232699990272522,115.29140001535416
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiSourceCAOcspHttpQuery,13.536215982974594,11.65829998254776,10.586900025606155,161.44900000095367
stage,PKI,cross-domain,7020,,,,,,,,,,,pkiTargetCAAssertionSign,17.29115817665714,17.205100014805794,14.687700003385544,150.47360000014305
