epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs
0.4,DPKI,intra-on-chain,324,103.77830848003474,101.03328086435795,103.37078687077228,100.62575925509503,2.745027615677255,0.0
0.4,DPKI,management,200,205.5488037308566,204.59890900045633,204.79275323386057,203.8428585034609,0.9498947303996829,0.0
0.4,PKI,cross-domain,720,692.3980969309829,675.6118476380905,201.65978453901775,193.7454686158233,0.8255944131944299,7.08872151
0.4,PKI,intra-pki,1080,208.69307400576088,193.8601281479001,53.80724612851338,49.29206592570301,1.6301026428103629,2.88507756
0.4,PKI,management,200,213.00379400397452,200.28425649985672,151.23504044728645,150.83677049726248,0.3982699500239687,0.0
0.45,DPKI,cross-domain,810,102.66443581066189,101.26363123452958,102.26643556500109,100.86563098886866,1.4008045761324293,0.0
0.45,DPKI,intra-off-chain,693,51.74752885984824,51.74752885984824,51.360303172946494,51.360303172946494,0.0,0.0
0.45,DPKI,intra-on-chain,297,106.49177442946016,103.5113225582272,106.08545355572458,103.10500168449148,2.980451871233098,0.0
0.45,DPKI,management,200,210.03308210743614,206.70401150122285,209.23477810813108,205.90570750191807,3.3290706062129813,0.0
0.45,PKI,cross-domain,810,708.3356504534742,688.6248818514156,202.5560879332077,193.25435716075663,2.2130092624510675,7.08872151
0.45,PKI,intra-pki,990,218.19900107569111,199.31182454523415,54.30440509200958,48.94944999937457,2.4698775326350013,2.8850775599999996
0.45,PKI,management,200,222.58830979614825,197.9881470003724,150.63762210150517,149.7662754996121,0.8713466018930922,0.0
0.5,DPKI,cross-domain,900,106.73987524227732,103.9130484446552,106.33907791197055,103.51225111434857,2.826826797621972,0.0
0.5,DPKI,intra-off-chain,630,52.5054196823684,52.5054196823684,52.12661619210054,52.12661619210054,0.0,0.0
0.5,DPKI,intra-on-chain,270,104.27687280506274,102.39138074219227,103.88121613735758,101.99572407448733,1.885492062870253,0.0
0.5,DPKI,management,200,215.27668961827595,210.63353449985385,214.5254036152833,209.88224849686026,4.643155118423019,0.0
0.5,PKI,cross-domain,900,711.8473590078673,693.8193808896012,202.98867281974495,192.96405255556107,2.9358987541838726,7.08872151
0.5,PKI,intra-pki,900,215.70588029999539,200.45098611129654,52.196157661978226,48.04937422278854,1.2617058791896782,2.8850775599999996
0.5,PKI,management,200,219.49804041004313,193.36113599911332,151.1912817002924,149.8692290017009,1.3220526985915058,0.0
0.55,DPKI,cross-domain,990,106.12982666183791,103.04512828242297,105.73063423908911,102.64593585967415,3.084698379414954,0.0
0.55,DPKI,intra-off-chain,567,52.11936948864969,52.11936948864969,51.730192592377385,51.730192592377385,0.0,0.0
0.55,DPKI,intra-on-chain,243,107.44757621089926,104.40514609119529,107.05225686877701,104.00982674907264,3.042430119704372,0.0
0.55,DPKI,management,200,215.9371701825239,210.153139501214,215.18877617990802,209.40474549859763,5.784030681310415,0.0
0.55,PKI,cross-domain,990,750.7424216846289,732.4080469694402,206.93080723025201,198.17057313202608,1.6715125882259305,7.08872151
0.55,PKI,intra-pki,810,225.7648610593555,208.79120382725458,54.982216356109134,50.11964111041139,1.9774976856977267,2.8850775599999996
0.55,PKI,management,200,220.03849574250074,203.1323995000124,150.92629813030672,150.17463449895382,0.7516636313528943,0.0
0.6,DPKI,cross-domain,1080,106.7879596571751,103.17503416670694,106.40094826978267,102.7880227793146,3.612925490468081,0.0
0.6,DPKI,intra-off-chain,504,52.04803313504136,52.04803313504136,51.66712777635881,51.66712777635881,0.0,0.0
0.6,DPKI,intra-on-chain,216,107.94338298988556,103.04141805514142,107.56489919566987,102.66293426092577,4.90196493474411,0.0
0.6,DPKI,management,200,205.29722628362637,202.18460699915886,204.55719228632796,201.44457300186158,3.112619284466382,0.0
0.6,PKI,cross-domain,1080,746.957454145913,729.9162644444516,208.1806883697043,199.2744026861257,1.8175641735786214,7.08872151
0.6,PKI,intra-pki,720,229.30850624745642,213.19134597260918,54.87904039643108,50.40789472175141,1.5860681146796682,2.8850775599999996
0.6,PKI,management,200,220.25522583345642,203.6842599992454,154.09518580889505,153.2200579994917,0.8751278094033478,0.0
