epsilon,source,model,E_T_total
0.2,Simulation,DPKI Real,0.2540103566091727
0.3,Simulation,PKI FCFS,0.30213935727401803
0.3,Simulation,DPKI Real,0.27281675592053894
0.4,Simulation,PKI FCFS,0.33957731238716454
0.4,Simulation,DPKI Real,0.28907334726353207
0.5,Simulation,PKI FCFS,0.3725812801375717
0.5,Simulation,DPKI Real,0.3050860247630123
0.6,Simulation,PKI FCFS,0.411259558307304
0.6,Simulation,DPKI Real,0.32612596479920664
0.7,Simulation,PKI FCFS,0.4483934553890319
0.7,Simulation,DPKI Real,0.35164321879260374
