epsilon,source,model,E_T_total
0.45714285714285713,Theory,DPKI Lower,0.2554742920924716
0.4714285714285714,Theory,PKI FCFS,0.353636803874092
0.4714285714285714,Theory,DPKI Upper,0.30049267679816877
0.4714285714285714,Theory,DPKI Lower,0.257738890099088
0.4857142857142857,Theory,PKI FCFS,0.3587796610169492
0.4857142857142857,Theory,DPKI Upper,0.30365373834654635
0.4857142857142857,Theory,DPKI Lower,0.2600426935332839
0.5,Theory,PKI FCFS,0.3639225181598063
0.5,Theory,DPKI Upper,0.30686443780653794
0.5,Theory,DPKI Lower,0.2623863716550334
0.5142857142857142,Theory,PKI FCFS,0.3690653753026634
0.5142857142857142,Theory,DPKI Upper,0.3101255902925768
0.5142857142857142,Theory,DPKI Lower,0.264770609044402
0.5285714285714286,Theory,PKI FCFS,0.37420823244552065
0.5285714285714286,Theory,DPKI Upper,0.31343802968534373
0.5285714285714286,Theory,DPKI Lower,0.26719610604243427
0.5428571428571428,Theory,PKI FCFS,0.37935108958837777
0.5428571428571428,Theory,DPKI Upper,0.3168026091749553
0.5428571428571428,Theory,DPKI Lower,0.26966357920735484
0.5571428571428572,Theory,PKI FCFS,0.3844939467312349
0.5571428571428572,Theory,DPKI Upper,0.3202202018231306
0.5571428571428572,Theory,DPKI Lower,0.27217376178670866
0.5714285714285714,Theory,PKI FCFS,0.389636803874092
0.5714285714285714,Theory,DPKI Upper,0.3236917011451125
0.5714285714285714,Theory,DPKI Lower,0.274727404206091
0.5857142857142857,Theory,PKI FCFS,0.3947796610169492
0.5857142857142857,Theory,DPKI Upper,0.32721802171215897
0.5857142857142857,Theory,DPKI Lower,0.27732527457515505
0.6,Theory,PKI FCFS,0.39992251815980634
0.6,Theory,DPKI Upper,0.33080009977545816
0.6,Theory,DPKI Lower,0.27996815921161067
0.6142857142857142,Theory,PKI FCFS,0.40506537530266346
0.6142857142857142,Theory,DPKI Upper,0.3344388939123599
0.6142857142857142,Theory,DPKI Lower,0.2826568631839675
0.6285714285714286,Theory,PKI FCFS,0.4102082324455206
0.6285714285714286,Theory,DPKI Upper,0.33813538569586155
0.6285714285714286,Theory,DPKI Lower,0.2853922108738072
0.6428571428571428,Theory,PKI FCFS,0.41535108958837774
0.6428571428571428,Theory,DPKI Upper,0.3418905803883305
0.6428571428571428,Theory,DPKI Lower,0.2881750465584112
0.6571428571428571,Theory,PKI FCFS,0.4204939467312349
0.6571428571428571,Theory,DPKI Upper,0.3457055076604923
0.6571428571428571,Theory,DPKI Lower,0.291006235014609
0.6714285714285714,Theory,PKI FCFS,0.42563680387409203
0.6714285714285714,Theory,DPKI Upper,0.34958122233676464
0.6714285714285714,Theory,DPKI Lower,0.2938866621447518
0.6857142857142857,Theory,PKI FCFS,0.4307796610169492
0.6857142857142857,Theory,DPKI Upper,0.3535188051680724
0.6857142857142857,Theory,DPKI Lower,0.2968172356257672
0.7,Theory,PKI FCFS,0.4359225181598063
0.7,Theory,DPKI Upper,0.3575193636333283
0.7,Theory,DPKI Lower,0.29979888558228895
0.0,Simulation,PKI FCFS,0.18520266683693992
0.0,Simulation,DPKI Real,0.21785712347135947
0.1,Simulation,PKI FCFS,0.22163448675608477
0.1,Simulation,DPKI Real,0.23043562528546915
0.2,Simulation,PKI FCFS,0.25642451379750025
0.2,Simulation,DPKI Real,0.24452103724787877
0.3,Simulation,PKI FCFS,0.29228902920000577
0.3,Simulation,DPKI Real,0.2604667392107467
0.4,Simulation,PKI FCFS,0.3270357963057253
0.4,Simulation,DPKI Real,0.27651024626367987
0.5,Simulation,PKI FCFS,0.36465541787075256
0.5,Simulation,DPKI Real,0.29748169234308375
0.6,Simulation,PKI FCFS,0.40075618031913307
0.6,Simulation,DPKI Real,0.31781335826171153
0.7,Simulation,PKI FCFS,0.437575300091522
0.7,Simulation,DPKI Real,0.34110845297606973
