pf,ts_ms,m,timeoutMs,PKI,PKI_Exact,PKI_Observed,DPKI_Lower,DPKI_Upper,DPKI_Mean
0.0,87.0,6.0,87.0,0.9560868416954887,0.954920634920635,0.9571,0.9453744053288657,0.9539453225622907,0.9496598639455782
0.0125,87.0,6.0,87.0,0.9462838320018923,0.942984126984127,0.9474,0.9453368888160193,0.953910712759145,0.9496238007875821
0.025,87.0,6.0,87.0,0.9326577159141323,0.931047619047619,0.9339,0.9450827138495991,0.9536762000136022,0.9493794569316006
0.037500000000000006,87.0,6.0,87.0,0.9160236166958292,0.9191111111111112,0.9174,0.9444179404671271,0.9530625999483191,0.9487402702077231
0.05,87.0,6.0,87.0,0.9096770032501794,0.9071746031746032,0.9111,0.9431724854129273,0.9519120562537389,0.9475422708333331
0.0625,87.0,6.0,87.0,0.8932659452421768,0.8952380952380953,0.8948,0.9411991630874664,0.9500866261687267,0.9456428946280966
0.07500000000000001,87.0,6.0,87.0,0.8740503825443455,0.8833015873015874,0.8757,0.9383727054860383,0.9474669391382181,0.9429198223121282
0.08750000000000001,87.0,6.0,87.0,0.8693240002983293,0.8713650793650793,0.871,0.9345886852003036,0.9439510045743977,0.9392698448873507
0.1,87.0,6.0,87.0,0.8557521888688993,0.8594285714285714,0.8575,0.9297623076850674,0.9394532025190145,0.934607755102041
0.1125,87.0,6.0,87.0,0.8434919077042363,0.8474920634920635,0.8453,0.9238270894981463,0.9339034404989718,0.928865264998559
0.125,87.0,6.0,87.0,0.8347513488701218,0.8355555555555556,0.8366,0.9167334764690132,0.9272464226195285,0.9219899495442708
0.1375,87.0,6.0,87.0,0.8210916564774653,0.8236190476190477,0.823,0.9084474668189534,0.9194409658723487,0.913944216345651
0.15000000000000002,87.0,6.0,87.0,0.8143638032770403,0.8116825396825397,0.8163,0.898949291905112,0.9104593109860445,0.9047043014455782
0.1625,87.0,6.0,87.0,0.798,0.7997460317460318,0.8,0.8882321840804284,0.9002863983272056,0.894259291203817
0.17500000000000002,87.0,6.0,87.0,0.7833472771740929,0.7878095238095237,0.7854,0.87630123934993,0.8889191011714345,0.8826101702606822
0.1875,87.0,6.0,87.0,0.775821709897536,0.7758730158730159,0.7779,0.863172368203834,0.8763654229639636,0.8697688955838988
0.2,87.0,6.0,87.0,0.7643847118990549,0.763936507936508,0.7665,0.8488713216339512,0.8626436715633283,0.8557574965986398
0.21250000000000002,87.0,6.0,87.0,0.7566609431985102,0.752,0.7588,0.8334327785062369,0.8477816242952766,0.8406072014007567
0.225,87.0,6.0,87.0,0.7344978810772349,0.7400634920634921,0.7367,0.816899482454111,0.8318156956522881,0.8243575890531996
0.23750000000000002,87.0,6.0,87.0,0.721865166728814,0.7281269841269841,0.7241,0.7993214193350754,0.8147901165961547,0.8070557679656151
0.25,87.0,6.0,87.0,0.7129434043339579,0.7161904761904763,0.7152,0.7807550290184905,0.7967561316957953,0.7887555803571429
0.2625,87.0,6.0,87.0,0.6989113401301199,0.7042539682539684,0.7012,0.7612624474459032,0.7777712181588766,0.7695168328023899
0.275,87.0,6.0,87.0,0.6878879448535989,0.6923174603174603,0.6902,0.7409107764755135,0.757898329245681,0.7494045528605973
0.28750000000000003,87.0,6.0,87.0,0.6811744476462569,0.6803809523809523,0.6835,0.719771380082506,0.7372051634934805,0.7284882717879932
0.30000000000000004,87.0,6.0,87.0,0.6667473143537651,0.6684444444444444,0.6691,0.6979192061659583,0.7157634605007082,0.7068413333333332
0.3125,87.0,6.0,87.0,0.6502192793107968,0.6565079365079365,0.6526,0.6754321336275967,0.6936483236056507,0.6845402286166237
0.325,87.0,6.0,87.0,0.6397030874546618,0.6445714285714287,0.6421,0.6523903446280447,0.670937569554035,0.6616639570910399
0.3375,87.0,6.0,87.0,0.6260839714923039,0.6326349206349207,0.6285,0.6288757220564322,0.6477111051196162,0.6382934135880242
0.35000000000000003,87.0,6.0,87.0,0.6128673784203045,0.6206984126984126,0.6153,0.6049712723123609,0.6240503305787949,0.6145108014455779
0.36250000000000004,87.0,6.0,87.0,0.6073610250103784,0.6087619047619047,0.6098,0.5807605735229804,0.6000375699164875,0.5903990717197339
0.375,87.0,6.0,87.0,0.5933463172576716,0.5968253968253968,0.5958,0.5563272493198,0.5757555276386396,0.5660413884792198
0.3875,87.0,6.0,87.0,0.5856391140314918,0.5848888888888889,0.5881,0.5317544682903506,0.5512867720762678,0.5415206201833092
0.4,87.0,6.0,87.0,0.5687254770156654,0.572952380952381,0.5712,0.5071244692052069,0.5267132450805073,0.5169188571428571
0.41250000000000003,87.0,6.0,87.0,0.555716993958928,0.561015873015873,0.5582,0.4825181121047477,0.5021157980243057,0.4923169550645267
0.42500000000000004,87.0,6.0,87.0,0.5524151157471624,0.5490793650793651,0.5549,0.4580144553142112,0.47757375404218744,0.4677941046781993
0.4375,87.0,6.0,87.0,0.5379081741633894,0.5371428571428571,0.5404,0.43369035844111997,0.45316449645402407,0.443427427447572
0.45,87.0,6.0,87.0,0.5322060277166736,0.5252063492063492,0.5347,0.40962011139630505,0.4289630833315864,0.4192915973639457
0.4625,87.0,6.0,87.0,0.5105008451428533,0.5132698412698412,0.513,0.3858750894686415,0.4050418881777515,0.3954584888231965
0.47500000000000003,87.0,6.0,87.0,0.5138013288031436,0.5013333333333333,0.5163,0.3625234344741437,0.38147026669773076,0.37199685058593723
0.48750000000000004,87.0,6.0,87.0,0.48200120153873904,0.4893968253968254,0.4845,0.3396297619920353,0.35831424964969394,0.34897200582086463
0.5,87.0,6.0,87.0,0.4756023992012333,0.4774603174603175,0.4781,0.3172548946936611,0.3356362617689239,0.3264455782312925
0.5125000000000001,87.0,6.0,87.0,0.4639056511871833,0.46552380952380945,0.4664,0.29545562176441775,0.31349486676533234,0.30447524426487504
0.525,87.0,6.0,87.0,0.45330978735847716,0.4535873015873016,0.4558,0.27428448441407677,0.29194453839895457,0.28311451140651567
