pf,M,PKI_Availability,DPKI_Lower,DPKI_Upper
0.413793103448276,10,0.531197909393079,0.967303190695187,0.941156774916057
0.413793103448276,11,0.531673752299144,0.968144019837976,0.941995347952902
0.413793103448276,12,0.53206534049367,0.968533560715979,0.942383955269824
0.448275862068966,4,0.490023344296783,0.812081483929911,0.786987113197289
0.448275862068966,5,0.493004880936001,0.884177100336053,0.858500204934483
0.448275862068966,6,0.494872545968478,0.924206467706018,0.898268404556158
0.448275862068966,7,0.496150696990632,0.945733387684957,0.919678248009828
0.448275862068966,8,0.497079804882742,0.957048271283984,0.930940648986435
0.448275862068966,9,0.497785412487529,0.962894235317675,0.936763086326143
0.448275862068966,10,0.498339383731987,0.96587451009271,0.939732814652122
0.448275862068966,11,0.498785792229401,0.967377701896728,0.941231278737598
0.448275862068966,12,0.49915315779332,0.968129289345904,0.941980746864669
0.482758620689655,4,0.457911232397349,0.779432350530931,0.754702349528935
0.482758620689655,5,0.46069738357319,0.859578347648101,0.834113767521681
0.482758620689655,6,0.462442657153889,0.907220558372,0.881401315422221
0.482758620689655,7,0.463637048638614,0.934678544644937,0.908688083734578
0.482758620689655,8,0.46450527041796,0.950154877639454,0.924081759737245
0.482758620689655,9,0.465164638286159,0.958732520687536,0.932619499408684
0.482758620689655,10,0.4656823067977,0.963424638847572,0.93729235386962
0.482758620689655,11,0.466099461342647,0.965964441159749,0.939822856464989
0.482758620689655,12,0.466442752779825,0.967327413533263,0.941181339320044
0.517241379310345,4,0.425997207548699,0.743415225433124,0.719136628798575
0.517241379310345,5,0.42858917851762,0.830660616253216,0.805478498019925
0.517241379310345,6,0.430212815631508,0.885901816646854,0.860252319057042
0.517241379310345,7,0.431323964258609,0.919850726326621,0.893959479277397
0.517241379310345,8,0.432131675507792,0.940268024911168,0.914251734989641
0.517241379310345,9,0.432745088874242,0.952347715845824,0.926266748575198
0.517241379310345,10,0.433226678590218,0.959403388032336,0.933288966960418
0.517241379310345,11,0.433614759638881,0.963482229318747,0.937350504556505
0.517241379310345,12,0.433934125453185,0.965820269828112,0.93967959488122
0.551724137931034,4,0.394281269750834,0.704104644446833,0.680377353449358
0.551724137931034,5,0.396680265769292,0.797193623285524,0.772380215922213
0.551724137931034,6,0.398183021401335,0.859687232846282,0.834274546381077
0.551724137931034,7,0.399211443850619,0.900456803185135,0.874713478374587
0.551724137931034,8,0.399959020152239,0.926504276447561,0.900578530429572
0.551724137931034,9,0.400526764251778,0.942883311333797,0.916856919130951
0.551724137931034,10,0.400972499109541,0.953054648335683,0.926972727203224
0.551724137931034,11,0.401331687118105,0.959307581173863,0.933195023390582
0.551724137931034,12,0.4016272758134,0.963119807365347,0.936990346602302
0.586206896551724,4,0.362763419003754,0.661615101404668,0.638552771300678
0.586206896551724,5,0.364970645328205,0.75900962189367,0.734669571609059
0.586206896551724,6,0.36635327446337,0.828046249148808,0.802957146462551
0.586206896551724,7,0.367299487414642,0.875662946213186,0.850134742171159
0.586206896551724,8,0.367987304351301,0.907853078998944,0.882067470659823
0.586206896551724,9,0.368509664418768,0.929282665738864,0.903346165224061
0.586206896551724,10,0.368919768355669,0.94337664754304,0.917351692994179
0.586206896551724,11,0.369250243780317,0.952555435025937,0.926478628112281
0.586206896551724,12,0.36952220386047,0.958484838772866,0.932377635645366
0.620689655172414,4,0.331443655307458,0.6161010481615,0.593831975548181
0.620689655172414,5,0.33346031719436,0.716013205097497,0.692272003196706
0.620689655172414,6,0.334723574817612,0.790504293991769,0.765849311541418
0.620689655172414,7,0.335588094950679,0.844623653032391,0.819401494716573
0.620689655172414,8,0.336216528104977,0.883196336287639,0.857622137723083
0.620689655172414,9,0.336693789375211,0.910285681549381,0.884492975242631
0.620689655172414,10,0.337068486328602,0.929088822305372,0.903160490503428
0.620689655172414,11,0.337370429625519,0.942016700436753,0.916004187292963
0.620689655172414,12,0.337618909594395,0.950835250214815,0.924770486582983
0.655172413793103,4,0.300321978661948,0.567756894594467,0.546424904763765
0.655172413793103,5,0.302149281367756,0.66819110964472,0.645197693385335
0.655172413793103,6,0.303293922464062,0.746668930448304,0.72258694768772
0.655172413793103,7,0.30407726645873,0.806519084676421,0.781723901399972
0.655172413793103,8,0.304646691413269,0.851342355207279,0.826079902569086
0.655172413793103,9,0.305079139121107,0.884442613145547,0.858874018510068
0.655172413793103,10,0.30541865302834,0.908612958969798,0.882843788542951
0.655172413793103,11,0.305692244653709,0.926101473960219,0.900200891807994
0.655172413793103,12,0.305917393015175,0.93865920805121,0.912672528561667
0.689655172413793,4,0.269398389067222,0.516817008602966,0.496582342895576
