m,pf,PKI,DPKI_Lower,DPKI_Upper
8,0.04204204204204204,0.834073542885563,0.9384109549925452,0.9198215852237794
8,0.043043043043043044,0.8331266443395828,0.9384109535412364,0.9198215837725083
8,0.044044044044044044,0.8321799034261224,0.9384109519541196,0.9198215821854359
8,0.04504504504504504,0.8312333201451815,0.9384109502205722,0.9198215804519403
8,0.04604604604604605,0.8302868944967604,0.9384109483293026,0.9198215785607311
8,0.04704704704704705,0.829340626480859,0.9384109462683188,0.9198215764998179
8,0.04804804804804805,0.8283945160974775,0.9384109440248954,0.9198215742564764
8,0.04904904904904905,0.8274485633466157,0.9384109415855408,0.9198215718172165
8,0.050050050050050046,0.8265027682282734,0.9384109389359613,0.9198215691677462
8,0.05105105105105105,0.825557130742451,0.9384109360610262,0.9198215662929367
8,0.05205205205205205,0.8246116508891482,0.9384109329447311,0.9198215631767857
8,0.05305305305305305,0.8236663286683652,0.9384109295701601,0.9198215598023797
8,0.05405405405405406,0.822721164080102,0.9384109259194471,0.9198215561518549
8,0.055055055055055056,0.8217761571243584,0.9384109219737353,0.9198215522063574
8,0.056056056056056056,0.8208313078011346,0.9384109177131374,0.9198215479460027
8,0.057057057057057055,0.8198866161104305,0.9384109131166924,0.9198215433498335
8,0.058058058058058054,0.8189420820522461,0.9384109081623235,0.9198215383957762
8,0.05905905905905906,0.8179977056265814,0.9384109028267935,0.9198215330605978
8,0.06006006006006006,0.8170534868334365,0.9384108970856588,0.9198215273198591
8,0.06106106106106106,0.8161094256728113,0.9384108909132239,0.9198215211478692
8,0.062062062062062065,0.8151655221447058,0.9384108842824933,0.9198215145176376
8,0.06306306306306306,0.81422177624912,0.9384108771651226,0.9198215074008256
8,0.06406406406406406,0.813278187986054,0.9384108695313689,0.9198214997676962
8,0.06506506506506507,0.8123347573555076,0.9384108613500394,0.9198214915870633
8,0.06606606606606606,0.8113914843574811,0.9384108525884388,0.9198214828262385
8,0.06706706706706707,0.8104483689919743,0.9384108432123166,0.9198214734509786
8,0.06806806806806806,0.809505411258987,0.9384108331858114,0.9198214634254311
8,0.06906906906906907,0.8085626111585196,0.9384108224713957,0.9198214527120766
8,0.07007007007007007,0.807619968690572,0.9384108110298184,0.9198214412716738
8,0.07107107107107107,0.8066774838551439,0.9384107988200459,0.9198214290631993
8,0.07207207207207207,0.8057351566522357,0.9384107857992033,0.9198214160437894
8,0.07307307307307308,0.8047929870818472,0.9384107719225133,0.9198214021686784
8,0.07407407407407407,0.8038509751439784,0.938410757143233,0.9198213873911356
8,0.07507507507507508,0.8029091208386292,0.9384107414125916,0.9198213716624044
8,0.07607607607607608,0.8019674241657999,0.9384107246797253,0.9198213549316351
8,0.07707707707707707,0.8010258851254903,0.938410706891611,0.91982133714582
8,0.07807807807807808,0.8000845037177003,0.9384106879929984,0.9198213182497256
8,0.07907907907907907,0.7991432799424302,0.9384106679263429,0.9198212981858245
8,0.08008008008008008,0.7982022137996797,0.9384106466317337,0.919821276894225
8,0.08108108108108109,0.7972613052894489,0.9384106240468238,0.9198212543126001
8,0.08208208208208208,0.796320554411738,0.9384106001067569,0.9198212303761144
8,0.08308308308308308,0.7953799611665466,0.9384105747440927,0.919821205017351
8,0.08408408408408408,0.7944395255538751,0.9384105478887329,0.9198211781662347
8,0.08508508508508508,0.7934992475737233,0.9384105194678429,0.9198211497499571
8,0.08608608608608609,0.7925591272260911,0.9384104894057747,0.9198211196928971
8,0.08708708708708708,0.7916191645109788,0.9384104576239864,0.919821087916542
8,0.08808808808808809,0.7906793594283862,0.9384104240409631,0.919821054339407
8,0.0890890890890891,0.7897397119783132,0.9384103885721319,0.9198210188769516
8,0.09009009009009009,0.78880022216076,0.9384103511297808,0.9198209814414978
8,0.09109109109109109,0.7878608899757265,0.9384103116229716,0.9198209419421439
8,0.0920920920920921,0.7869217154232125,0.9384102699574545,0.9198209002846782
8,0.09309309309309309,0.7859826985032186,0.93841022603558,0.9198208563714915
8,0.0940940940940941,0.7850438392157443,0.9384101797562082,0.9198208101014868
8,0.09509509509509509,0.7841051375607896,0.93841013101462,0.9198207613699897
8,0.0960960960960961,0.7831665935383548,0.9384100797024233,0.9198207100686556
8,0.0970970970970971,0.7822282071484395,0.9384100257074595,0.9198206560853761
8,0.0980980980980981,0.7812899783910442,0.9384099689137084,0.9198205993041837
8,0.0990990990990991,0.7803519072661684,0.9384099092011918,0.9198205396051555
8,0.10010010010010009,0.7794139937738125,0.9384098464458748,0.9198204768643152
8,0.1011011011011011,0.7784762379139762,0.9384097805195665,0.9198204109535332
8,0.1021021021021021,0.7775386396866597,0.9384097112898182,0.9198203417404254
