m,pf,PKI,DPKI_Mal_Lower,DPKI_Mal_Upper
8,0.7297297297297297,0.22069892637735028,0.032168163830642964,0.031149894548048004
8,0.7307307307307307,0.2198603213724202,0.031676416166223645,0.030673629454522667
8,0.7317317317317317,0.2190218740000099,0.031189938405062657,0.030202470230661714
8,0.7327327327327328,0.2181835842601192,0.030708703452872896,0.029736390587495314
8,0.7337337337337337,0.2173454521527483,0.03023268406132251,0.029275364087442697
8,0.7347347347347347,0.21650747767789716,0.02976185283068199,0.028819364146873902
8,0.7357357357357357,0.21566966083556574,0.029296182212480606,0.028368364038680635
8,0.7367367367367368,0.21483200162575394,0.02883564451217109,0.027922336894855022
8,0.7377377377377378,0.21399450004846196,0.028380211891803165,0.02748125570907694
8,0.7387387387387387,0.21315715610368974,0.0279298563727046,0.02704509333930852
8,0.7397397397397397,0.21231996979143722,0.027484549838170967,0.026613822510397168
8,0.7407407407407407,0.21148294111170443,0.027044264036162856,0.026187415816685634
8,0.7417417417417418,0.21064607006449126,0.026608970582010706,0.02576584572462955
8,0.7427427427427428,0.20980935664979783,0.026178640961127386,0.025349084575422353
8,0.7437437437437437,0.20897280086762424,0.02575324653172741,0.024937104587626636
8,0.7447447447447447,0.20813640271797035,0.025332758527553657,0.024529877859812747
8,0.7457457457457457,0.2073001622008362,0.024917148060610735,0.024127376373203738
8,0.7467467467467468,0.20646407931622157,0.0245063861239048,0.02372957199432659
8,0.7477477477477478,0.20562815406412688,0.024100443594190158,0.023336436477669965
8,0.7487487487487487,0.2047923864445518,0.023699291234721424,0.02294794146834725
8,0.7497497497497497,0.20395677645749657,0.023302899698012212,0.022564058504765977
8,0.7507507507507507,0.20312132410296097,0.022911239528599373,0.02218475902130253
8,0.7517517517517518,0.20228602938094506,0.02252428116581264,0.021810014350982076
8,0.7527527527527528,0.2014508922914489,0.022141994946549975,0.02143979572816399
8,0.7537537537537538,0.20061591283447255,0.0217643511080575,0.021074074291231676
8,0.7547547547547547,0.19978109101001587,0.02139131979071483,0.020712821085287575
8,0.7557557557557557,0.1989464268180789,0.021022871040824762,0.020356007064852442
8,0.7567567567567568,0.19811192025866162,0.020658974813407567,0.020003603096568918
8,0.7577577577577578,0.1972775713317641,0.020299600974999603,0.019655579961909395
8,0.7587587587587588,0.19644338003738632,0.01994471930645564,0.019311908359887324
8,0.7597597597597597,0.19560934637552824,0.01959429950575528,0.018972558909772574
8,0.7607607607607607,0.1947754703461899,0.01924831119081288,0.018637502153810052
8,0.7617617617617618,0.19394175194937127,0.01890672390229073,0.018306708559941508
8,0.7627627627627628,0.1931081911850724,0.018569507106415542,0.01798014852453052
