dataKind,p,DPKI_upper_bound,DPKI_lower_bound,DPKI_experimental,PKI_theory,PKI_experimental,epsilon,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,lambdaBlockHeightMeasured,lambdaBlockTxConfirmMeanMs,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,calibrationScope,PKI_rho,runDir,DPKI_upper_theory_pointMeasured,DPKI_lower_theory_pointMeasured,PKI_theory_pointMeasured,PFixed_lambda_total,PFixed_gamma_on_chain,PFixed_q_manage,PFixed_mu,PFixed_lambda_block,PFixed_service_cas,PFixed_pki_mu,PFixed_pki_q_manage,PFixed_pki_mu_scale
plot_curve,0.017374517374517374,0.09614953484662511,0.06705612174286753,0.08767538460452055,0.08012905178848802,0.07911814205856228,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.019305019305019305,0.09651245231831422,0.06727702791761887,0.0879523547196836,0.08029202823805417,0.07935340492890322,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.021235521235521235,0.0968763037307775,0.06749849030583073,0.08822836315293989,0.08045501713752459,0.07958610727371478,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.02316602316602317,0.09724108558892589,0.06772050686958167,0.08850340467040206,0.080618018485474,0.07981620063150495,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.0250965250965251,0.09760679439767025,0.06794307557095032,0.08877747403818281,0.08078103228047719,0.0800436365407818,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.02702702702702703,0.09797342666192153,0.06816619437201522,0.08905056602239482,0.08094405852110888,0.08026836654005336,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.02895752895752896,0.09834097888659064,0.06838986123485495,0.0893226753891508,0.08110709720594383,0.08049034216782766,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.03088803088803089,0.09870944757658849,0.0686140741215481,0.08959379690456343,0.08127014833355681,0.08070951496261274,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.03281853281853282,0.09907882923682597,0.06883883099417325,0.08986392533474538,0.08143321190252252,0.08092583646291665,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.03474903474903475,0.099449120372214,0.06906412981480896,0.09013305544580935,0.08159628791141578,0.0811392582072474,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.03667953667953668,0.09982031748766351,0.06928996854553382,0.09040118200386804,0.0817593763588113,0.08134973173411307,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.03861003861003861,0.1001924170880854,0.06951634514842642,0.09066829977503411,0.08192247724328384,0.08155720858202167,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.04054054054054054,0.10056541567839057,0.06974325758556532,0.09093440352542029,0.08208559056340814,0.08176164028948125,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.04247104247104247,0.10093930976348994,0.0699707038190291,0.09119948802113922,0.08224871631775899,0.08196297839499986,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.0444015444015444,0.10131409584829441,0.07019868181089635,0.09146354802830363,0.08241185450491109,0.08216117443708551,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.04633204633204634,0.1016897704377149,0.07042718952324563,0.09172657831302618,0.08257500512343922,0.08235617995424625,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.04826254826254826,0.10206633003666235,0.07065622491815554,0.09198857364141957,0.08273816817191815,0.08254794648499013,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.0501930501930502,0.1024437715773397,0.07088578616988865,0.09224952647374031,0.08290134364838075,0.08273641125745751,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.052123552123552123,0.10282214281145519,0.07111589693340284,0.09250917453772563,0.0830645314911625,0.08291994354507606,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.05405405405405406,0.10320147839893133,0.07134657516786594,0.09276739038982523,0.08322773167080068,0.08309779194459382,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.055984555984555984,0.10358177894219789,0.07157782208412648,0.09302424343740881,0.08339094420419355,0.08327043539107597,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.05791505791505792,0.1039630450436847,0.071809638893033,0.09327980308784617,0.0835541691082394,0.08343835281958767,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.059845559845559844,0.10434527730582148,0.07204202680543412,0.093534138748507,0.0837174063998365,0.0836020231651941,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.06177606177606178,0.10472847633103809,0.07227498703217838,0.09378731982676106,0.08388065609588312,0.08376192536296047,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.0637065637065637,0.10511264272176428,0.07250852078411432,0.09403941572997808,0.08404391821327753,0.08391853834795189,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.06563706563706564,0.10549777708042987,0.07274262927209056,0.09429049586552785,0.08420719276891798,0.0840723410552336,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.06756756756756757,0.10588388000946464,0.07297731370695563,0.09454062964078006,0.08437047977970277,0.08422381241987074,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.0694980694980695,0.10627095211129838,0.0732125752995581,0.09478988646310448,0.08453377926253017,0.08437343137692851,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.07142857142857142,0.10665899398836089,0.07344841526074655,0.09503833573987085,0.08469709123429844,0.08452167686147206,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.07335907335907337,0.10704800624308194,0.07368483480136954,0.0952860468784489,0.08486041571190586,0.0846690278085666,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.07528957528957529,0.10743798947789135,0.07392183513227563,0.09553308928620842,0.08502375271225068,0.08481596315327727,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.07722007722007722,0.10782894429521891,0.07415941746431338,0.0957795323705191,0.08518710225223121,0.0849629618306693,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.07915057915057916,0.10822087129749439,0.0743975830083314,0.09602544553875071,0.0853504643487457,0.0851105027758078,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.08108108108108109,0.1086137710871476,0.07463633297517819,0.09627089819827299,0.08551383901869243,0.08525906492375798,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.08301158301158301,0.10900764426660833,0.07487566857570235,0.09651595975645567,0.08567722627896965,0.08540912720958503,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.08494208494208494,0.10940249143830638,0.07511559102075246,0.09676069962066851,0.08584062614647564,0.08556116856835412,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.08687258687258688,0.10979831320467152,0.07535610152117708,0.09700518719828126,0.0860040386381087,0.0857156679351304,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.0888030888030888,0.11019511016813355,0.07559720128782475,0.09724949189666364,0.08616746377076706,0.08587310424497906,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.09073359073359073,0.11059288293112227,0.07583889153154408,0.09749368312318542,0.08633090156134904,0.0860339564329653,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.09266409266409267,0.11099163209606747,0.07608117346318358,0.0977378302852163,0.08649435202675286,0.08619870343415427,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.0945945945945946,0.11139135826539893,0.07632404829359188,0.09798200279012607,0.08665781518387683,0.08636782418361118,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.09652509652509653,0.11179206204154647,0.0765675172336175,0.09822627004528446,0.0868212910496192,0.08654179761640116,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.09845559845559845,0.11219374402693987,0.07681158149410902,0.09847070145806121,0.08698477964087825,0.08672110266758941,,,,,,,,,,,,,,,,,,,,,,,,,,,
plot_curve,0.1003861003861004,0.1125964058608673,0.07705624261361493,0.09871535075673482,0.08714828096917189,0.08690620572304673,,,,,,,,,,,,,,,,,,,,,,,,,,,
