pf,ts_ms,m,timeoutMs,PKI,PKI_Exact,PKI_Observed,DPKI_Lower,DPKI_Upper,DPKI_Mean
0.5625,89.5,6.0,89.5,0.4117370832332375,0.4206944444444444,0.4142,0.9273897633004916,0.9372370889923715,0.9323134261464315
0.5750000000000001,89.5,6.0,89.5,0.4072411084306135,0.4086746031746031,0.4097,0.9229483570077142,0.9330801576546741,0.9280142573311941
0.5875,89.5,6.0,89.5,0.4039441954475162,0.39665476190476184,0.4064,0.9180032092463668,0.9284398039047475,0.9232215065755571
0.6000000000000001,89.5,6.0,89.5,0.3874613631369144,0.38463492063492055,0.3899,0.9125100378379519,0.9232716510509368,0.9178908444444444
0.6125,89.5,6.0,89.5,0.3697830434426742,0.3726150793650793,0.3722,0.9064217282798781,0.9175283122727826,0.9119750202763304
0.625,89.5,6.0,89.5,0.3532065263736569,0.3605952380952381,0.3556,0.8996882127876977,0.9111592603568335,0.9054237365722656
0.6375000000000001,89.5,6.0,89.5,0.3494123402671235,0.34857539682539673,0.3518,0.8922563470999528,0.9041106943809684,0.8981835207404606
0.65,89.5,6.0,89.5,0.3343370933683279,0.3365555555555555,0.3367,0.8840697853769899,0.8963254030158674,0.8901975941964286
0.6625000000000001,89.5,6.0,89.5,0.32335682101622604,0.3245357142857142,0.3257,0.8750688535344071,0.8877426241029653,0.8814057388186862
0.675,89.5,6.0,89.5,0.3120786176532075,0.31251587301587297,0.3144,0.8651904213604105,0.8782979001596167,0.8717441607600136
0.6875,89.5,6.0,89.5,0.2986067534476206,0.30049603174603173,0.3009,0.854367773780823,0.8679229294477188,0.8611453516142709
0.7000000000000001,89.5,6.0,89.5,0.28473819209480555,0.2884761904761904,0.287,0.8425304816625634,0.8565454122149874,0.8495379469387754
0.7125,89.5,6.0,89.5,0.27845329402235186,0.27645634920634915,0.2807,0.8296042725930455,0.8440888916714273,0.8368465821322364
0.7250000000000001,89.5,6.0,89.5,0.2637906788372896,0.26443650793650786,0.266,0.8155109021469898,0.8304725891895054,0.8229917456682476
0.7375,89.5,6.0,89.5,0.24454454697337197,0.2524166666666666,0.2467,0.8001680262631345,0.8156112331055438,0.8078896296843392
0.75,89.5,6.0,89.5,0.23886154845741128,0.2403968253968254,0.241,0.7834890755140747,0.7994148803390999,0.7914519779265873
0.7625000000000001,89.5,6.0,89.5,0.23297969347734815,0.22837698412698404,0.2351,0.7653831322812236,0.781788729818342,0.7735859310497828
0.775,89.5,6.0,89.5,0.2152379578690046,0.21635714285714283,0.2173,0.7457548121708107,0.7626329263755062,0.7541938692731585
0.7875000000000001,89.5,6.0,89.5,0.19959402492537917,0.20433730158730148,0.2016,0.7245041514674002,0.741842353315946,0.7331732523916731
0.8,89.5,6.0,89.5,0.18614603998249707,0.19231746031746028,0.1881,0.7015265030834316,0.7193064112022823,0.710416457142857
0.8125,89.5,6.0,89.5,0.18096707740713708,0.18029761904761904,0.1829,0.6767124444301759,0.6949087794282488,0.6858106119292123
0.8250000000000001,89.5,6.0,89.5,0.16423914811175097,0.1682777777777777,0.1661,0.6499477020763912,0.6685271557159572,0.6592374288961742
0.8375,89.5,6.0,89.5,0.14901073087546898,0.15625793650793648,0.1508,0.6211131002598934,0.6400329664713685,0.630573033365631
0.8500000000000001,89.5,6.0,89.5,0.13935937662028802,0.14423809523809514,0.1411,0.5900845437665242,0.6092910374834754,0.5996877906249998
0.8625,89.5,6.0,89.5,0.12881573643689595,0.13221825396825393,0.1305,0.5567330512748758,0.5761592088688521,0.566446130071864
