sequence,method,from,serializationWaitMs,estimateGasMs,nonceMs,encodeMs,signMs,submitToHashMs,hashToReceiptMs,receiptTotalMs,lockHeldMs,totalMs,gasEstimate,gasLimit,gasUsed,nonce,blockNumber,transactionIndex,transactionHash,status,error
12,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.00830000638961792,5.891699999570847,0.0054000020027160645,0.34529998898506165,2.992799997329712,2.633300006389618,21.915299981832504,24.548599988222122,12.156699985265732,33.81580001115799,245774,800000,189057,61444,3210522,0,0xc5bbf9a9214769d370b1843fe8376f1731230fa131dcf8a1db252a3a2b97430b,true,
13,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.008600026369094849,5.956000000238419,0.004400014877319336,0.31120002269744873,2.5047999918460846,2.4675999879837036,55.19190001487732,57.65950000286102,11.550799995660782,66.46960002183914,245758,800000,189045,61445,3210524,0,0x8c6ea7b898f53d47a373a6fb5eeca411de70b521672a11a81627791ae47f21db,true,
14,putDomainRoot,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.011399984359741211,4.983599990606308,0.0042999982833862305,0.09800001978874207,2.777300000190735,2.565400004386902,45.46849998831749,48.03389999270439,10.701600015163422,55.933200001716614,57684,800000,44373,61446,3210527,0,0x06ffa11f9b4febe740a56fd4c3253852d683d12b005ca56ba964b2b2232770b6,true,
15,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.004999995231628418,5.744500011205673,0.004399985074996948,0.3772999942302704,2.5094999969005585,2.7804999947547913,70.55159997940063,73.33209997415543,11.673000007867813,82.01879999041557,245774,800000,189057,61447,3210529,0,0x4a86055b5396f70e7b328522a5827e8b434ba99d9c83ab48b058bb1d4b2b00b0,true,
16,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.005299985408782959,5.394999980926514,0.004500001668930054,0.28700000047683716,2.466099977493286,2.642199993133545,41.33830001950264,43.980500012636185,11.065000027418137,52.16170001029968,245758,800000,189045,61448,3210530,0,0xf9a1619f040951a081904f1fcfd7184aa33bd8bf36758a0a7920999cdcd9f272,true,
17,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0048999786376953125,5.23759999871254,0.003500014543533325,0.3157999813556671,2.1874000132083893,2.4941000044345856,38.30759999155998,40.80169999599457,10.501900017261505,48.7248999774456,245774,800000,189057,61449,3210531,0,0xe342ef3c4cefe8189043d40a8a7de87aada056a4d4d18bb29f5d1a4ea6ed0e7e,true,
18,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.004699975252151489,6.16059997677803,0.004099994897842407,0.3310000002384186,2.7242999970912933,3.0920000076293945,20.299299985170364,23.39129999279976,12.59060001373291,32.6380999982357,245758,800000,189045,61450,3210532,0,0x36328067ce5e6d182a8f97d469edc34ce69f9f0de788a7bda8160592c37d8b0e,true,
19,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0040000081062316895,4.4670000076293945,0.0036999881267547607,0.2874000072479248,2.122600018978119,2.1326999962329865,90.67509999871254,92.80779999494553,9.300999999046326,99.71669998764992,245774,800000,189057,61451,3210533,0,0x73f05780fb9075b7408414b7cab0568776e50892b6a5dd3f51fda685b189c445,true,
20,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0045999884605407715,5.239700019359589,0.004100024700164795,0.22769999504089355,2.2490000128746033,2.7253000140190125,73.17479997873306,75.90009999275208,10.684799998998642,83.67899999022484,245774,800000,189057,61452,3210535,0,0xc313f9a18ea352523c5f6ac9f8bf363a924cf78114ae1459d808c7f545a11a68,true,
21,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0056999921798706055,3.880400002002716,0.00279998779296875,0.1380000114440918,1.2847000062465668,1.4524999856948853,60.86930000782013,62.321799993515015,6.936499983072281,67.65769997239113,245774,800000,189057,61453,3210537,0,0xed72f072cb48c46c1f460a305cf98afe807e0521f3de2c55708c8eeac28ca063,true,
22,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.004399985074996948,7.803599983453751,0.09839999675750732,0.30480000376701355,1.9941999912261963,1.8792999982833862,20.513900011777878,22.393200010061264,12.26690000295639,32.62629997730255,245774,800000,189057,61454,3210539,0,0x4b6fba600f86f1bfc3b7039753410d3b28cb701f6f03c26735a22f6aa5ffbe36,true,
23,putDomainRoot,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.007499992847442627,6.609000027179718,0.005899995565414429,0.06369999051094055,2.0963000059127808,3.498500019311905,37.23839998245239,40.7369000017643,12.49549999833107,49.540800005197525,57684,800000,44373,61455,3210541,0,0xf801713e02d5fdeca62da88aef050e095cf89ca214c83a19b58df4756b0787bc,true,
24,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.005199998617172241,5.598600000143051,0.0015000104904174805,0.14190000295639038,1.9786999821662903,2.628499984741211,38.16280001401901,40.79129999876022,10.58840000629425,48.53790000081062,245774,800000,189057,61456,3210543,0,0x29488c7aa7e6afb7f8cd08ff05dd0434403073c788dfcac214d4aa0598d6ea6a,true,
25,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.005000025033950806,5.1646000146865845,0.0018999874591827393,0.23170000314712524,2.2513999938964844,1.8951999843120575,41.46209999918938,43.357299983501434,9.700399994850159,51.03210002183914,245774,800000,189057,61457,3210544,0,0xc732775dc59d9fed995dc341abf3edc0a561e44b0296c07473822d5684287829,true,
26,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.004999995231628418,5.491300016641617,0.002200007438659668,0.2524999976158142,2.2795000076293945,1.9664999842643738,38.50910001993179,40.47560000419617,10.14970001578331,48.52889999747276,245774,800000,189057,61458,3210545,0,0xb81b2ee02d33286aacad0e798c5246edb52b7c9ccf1443342a6e2f1f18e5c2ab,true,
27,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.005800008773803711,6.701599985361099,0.0022999942302703857,0.24739998579025269,3.678600013256073,3.036300003528595,155.22450000047684,158.26080000400543,13.897300004959106,168.9239999949932,245774,800000,189057,61459,3210546,0,0xbd5cc95892cd37ff62719da7bfb4cac92f254be2f502950a51ce643c41c273b5,true,
28,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.009700000286102295,6.9478999972343445,0.0018000006675720215,0.15779998898506165,1.3339999914169312,4.273000001907349,53.92980000376701,58.20280000567436,12.860199987888336,66.67599999904633,245774,800000,189057,61460,3210548,0,0x50d4561e722711ce16a3351ab6da610251861dab12e70cb1f2ad10db66757ff9,true,
29,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0051000118255615234,8.443599998950958,0.0020000040531158447,0.21450001001358032,1.8914999961853027,2.2101999819278717,73.595400005579,75.80559998750687,13.003600001335144,86.3977999985218,245758,800000,189045,61461,3210550,0,0x9441e7a76ee0f96774ddff311e635889346d3fa43605ebbcabf98bde44f0f326,true,
30,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.009499996900558472,6.852500021457672,0.001399993896484375,0.1422000229358673,1.1903000175952911,1.4437000155448914,90.75949999690056,92.20320001244545,10.03490000963211,100.43450000882149,245758,800000,189045,61462,3210552,0,0xbc062f542b3389fbfbeff86a1ba13b3b7cda8b00ab2de2e7c2542eff7599b4b3,true,
31,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.007799983024597168,8.167099982500076,0.00210002064704895,0.18070000410079956,1.2612999975681305,2.2454000115394592,84.532900005579,86.77830001711845,12.28830000758171,96.41799998283386,245774,800000,189057,61463,3210554,0,0xff06b85904c795ae658124975996618f13b10c88cec1304019adab66ad8925ee,true,
32,authenticateSigned,0xab7F5238cbEfB02062241cf979e4994b656FB944,15.318299978971481,374.912299990654,179.39930000901222,0.5633000135421753,251.51969999074936,86.16100001335144,90.58370000123978,176.74470001459122,893.0078000128269,998.4829999804497,341194,800000,262457,61464,3210671,0,0x3fb9023a84069f17a072c373190f0900ab7ff1f33241552ab56ba6bda4028022,true,
33,authenticateSigned,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.00830000638961792,158.5551000237465,0.0018000006675720215,0.20919999480247498,80.65479999780655,177.32030001282692,86.73669999837875,264.0570000112057,416.916699975729,503.4995999932289,341162,800000,262433,61465,3210689,0,0x86cad485a3d1d2a32e4425508f9b8cde52638ae9a138c05a213ce6be77ddfdd0,true,
34,authenticateSigned,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.009999990463256836,175.64019998908043,0.001699984073638916,0.2928999960422516,91.55149999260902,171.2088000178337,126.73460000753403,297.94340002536774,439.07330000400543,565.4539999961853,341194,800000,262457,61466,3210707,0,0xca73adf2db612ae8be4bb5a94231277aa57fbb30f79d885c95c9258a1beef6d9,true,
35,authenticateSigned,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.009299993515014648,127.58539998531342,0.0013000071048736572,0.20159998536109924,118.18149998784065,126.77439999580383,2.2542000114917755,129.0286000072956,373.0993000268936,375.0173000097275,341162,800000,262433,61467,3210726,0,0xeef98ed5c2d352f9e284183cbc1040103546009038b98e9d525672a97c51fef6,true,
36,authenticateSigned,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.008799999952316284,88.27700001001358,0.0020000040531158447,0.3123999834060669,2.58720001578331,115.83370000123978,46.58959999680519,162.42329999804497,207.32950001955032,253.62650001049042,341194,800000,262457,61468,3210733,0,0x57262df9e9eb237d4a470e98e9b302b8d2ecca21347c331ed7590e2dd1a71114,true,
37,authenticateSigned,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.008500009775161743,208.3323999941349,0.0015999972820281982,0.33550000190734863,88.1821999847889,40.59810000658035,220.24739998579025,260.8454999923706,337.8217000067234,557.7445999979973,341178,800000,262445,61469,3210749,0,0x0b86b836f296ee0ed96eac6cf415688d2840d59c22c8de7ef6400dc2e126fd56,true,
38,authenticateSigned,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.007899999618530273,166.46649998426437,0.001399993896484375,0.21930000185966492,155.65880000591278,87.60779997706413,121.23170000314713,208.83949998021126,410.31260001659393,531.287800014019,341194,800000,262457,61470,3210779,0,0x67e49dea8913ad2b07e5f2fdf2e3068f15f82e2c273adb41b23e849b6053068b,true,
39,putCertificateAndDomainRoot,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.009999990463256836,262.49299997091293,0.001699984073638916,0.2408999800682068,179.99050000309944,152.08899998664856,125.25229999423027,277.34129998087883,595.1188000142574,720.08599999547,99260,800000,76354,61471,3210808,0,0x3c06aec85880078a6027b67b7f1589c94fd53735f1857f7cfc9a4b728ef401c0,true,
40,authenticateSigned,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.007800012826919556,221.58120000362396,0.0012999773025512695,0.3531000018119812,129.6613999903202,129.31900000572205,142.0693999826908,271.38839998841286,481.15829998254776,623.0040000081062,341162,800000,262433,61472,3210826,0,0x7f4dbe6647579bf2a39c98bce8384ec17bc899e0282d58721c8b2330513c2842,true,
41,putCertificateAndDomainRoot,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.008599996566772461,204.64169999957085,0.001399993896484375,0.16729998588562012,125.4438000023365,183.82299998402596,112.65120002627373,296.4742000102997,514.2919000089169,626.745600014925,99244,800000,76342,61473,3210847,0,0xaa7f1d2295fb9853b2f17d1c2478d2077f2cd6570aee68cf74a4c7703f35b719,true,
42,authenticateSigned,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.009400010108947754,83.4573999941349,0.0017000138759613037,0.3633999824523926,46.92859998345375,134.90340000391006,40.8619000017643,175.76530000567436,265.8976999819279,306.534500002861,341162,800000,262433,61474,3210860,0,0x38d15b5df2b70f17f5917c744ab22c09cf55daad26be856b8d40c2eb06e5c529,true,
