M,source,model,E_T_total
2.2222222222222223,Theory,PKI FCFS,0.6183376623376624
2.2222222222222223,Theory,DPKI Upper,0.325319348101507
2.2222222222222223,Theory,DPKI Lower,0.2887038671763648
2.2282282282282284,Theory,PKI FCFS,0.6183376623376624
2.2282282282282284,Theory,DPKI Upper,0.325319348101507
2.2282282282282284,Theory,DPKI Lower,0.2887038671763648
2.234234234234234,Theory,PKI FCFS,0.6183376623376624
2.234234234234234,Theory,DPKI Upper,0.325319348101507
2.234234234234234,Theory,DPKI Lower,0.2887038671763648
2.24024024024024,Theory,PKI FCFS,0.6183376623376624
2.24024024024024,Theory,DPKI Upper,0.325319348101507
2.24024024024024,Theory,DPKI Lower,0.2887038671763648
2.2462462462462462,Theory,PKI FCFS,0.6183376623376624
2.2462462462462462,Theory,DPKI Upper,0.325319348101507
2.2462462462462462,Theory,DPKI Lower,0.2887038671763648
2.2522522522522523,Theory,PKI FCFS,0.6183376623376624
2.2522522522522523,Theory,DPKI Upper,0.325319348101507
2.2522522522522523,Theory,DPKI Lower,0.2887038671763648
2.2582582582582584,Theory,PKI FCFS,0.6183376623376624
2.2582582582582584,Theory,DPKI Upper,0.325319348101507
2.2582582582582584,Theory,DPKI Lower,0.2887038671763648
2.264264264264264,Theory,PKI FCFS,0.6183376623376624
2.264264264264264,Theory,DPKI Upper,0.325319348101507
2.264264264264264,Theory,DPKI Lower,0.2887038671763648
2.27027027027027,Theory,PKI FCFS,0.6183376623376624
2.27027027027027,Theory,DPKI Upper,0.325319348101507
2.27027027027027,Theory,DPKI Lower,0.2887038671763648
2.2762762762762763,Theory,PKI FCFS,0.6183376623376624
2.2762762762762763,Theory,DPKI Upper,0.325319348101507
2.2762762762762763,Theory,DPKI Lower,0.2887038671763648
2.2822822822822824,Theory,PKI FCFS,0.6183376623376624
2.2822822822822824,Theory,DPKI Upper,0.325319348101507
2.2822822822822824,Theory,DPKI Lower,0.2887038671763648
2.2882882882882885,Theory,PKI FCFS,0.6183376623376624
2.2882882882882885,Theory,DPKI Upper,0.325319348101507
2.2882882882882885,Theory,DPKI Lower,0.2887038671763648
2.294294294294294,Theory,PKI FCFS,0.6183376623376624
2.294294294294294,Theory,DPKI Upper,0.325319348101507
2.294294294294294,Theory,DPKI Lower,0.2887038671763648
2.3003003003003,Theory,PKI FCFS,0.6183376623376624
2.3003003003003,Theory,DPKI Upper,0.325319348101507
2.3003003003003,Theory,DPKI Lower,0.2887038671763648
