epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs,M,runDir
0.1,DPKI,cross-domain,900,137.3660889915819,136.15670288946893,121.39653009866969,120.1871439965566,1.2093861021130892,0.0,7.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_7_lambda_28_r10000
0.1,DPKI,intra-off-chain,8100,79.168277181288,79.15525195058481,63.96511995872573,63.96035390144513,0.004766057280602256,0.0,7.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_7_lambda_28_r10000
0.1,DPKI,management,1000,333.04282474581595,331.7694765005112,250.5068872502266,249.2335390049219,1.2733482453046814,0.0,7.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_7_lambda_28_r10000
0.1,PKI,cross-domain,900,208.29646404561208,195.8254128894541,213.12759272140434,193.85525977313517,12.183611438269141,7.08872151,7.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_7_lambda_28_r10000
0.1,PKI,intra-pki,8100,62.75777653695504,48.767465062215,64.85565773442977,48.25710808676702,13.713472087662735,2.8850775599999996,7.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_7_lambda_28_r10000
0.1,PKI,management,1000,175.7652250585305,168.45339089971782,174.5372657440586,167.37901589787006,7.158249846188526,0.0,7.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_7_lambda_28_r10000
0.1,DPKI,cross-domain,900,138.42008541728157,137.13911010854775,123.34147964151462,122.06050433278084,1.2809753087337938,0.0,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_8_lambda_28_r10000
0.1,DPKI,intra-off-chain,8100,78.76291626674497,78.76077986449371,63.54990871702447,63.54990871702447,0.0,0.0,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_8_lambda_28_r10000
0.1,DPKI,management,1000,334.23879179955554,332.81544799917936,252.00218159849484,250.5788377981186,1.423343800376254,0.0,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_8_lambda_28_r10000
0.1,PKI,cross-domain,900,206.3711501073157,193.37464033265908,211.2119962050978,191.40293688674768,12.720337808350074,7.08872151,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_8_lambda_28_r10000
0.1,PKI,intra-pki,8100,60.92449894516047,48.55892501225442,63.05555858896378,48.04517171591888,12.125309313044893,2.8850775599999996,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_8_lambda_28_r10000
0.1,PKI,management,1000,172.9273357466316,168.4537809009552,171.7380074115868,167.36858979976176,4.36941761182504,0.0,8.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_8_lambda_28_r10000
0.1,DPKI,cross-domain,900,137.78471406029792,136.53054088890553,122.00347428554117,120.74930111414857,1.2541731713926099,0.0,9.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_9_lambda_28_r10000
0.1,DPKI,intra-off-chain,8100,78.53878804936085,78.53878804936085,63.27071060438215,63.27071060438215,0.0,0.0,9.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_9_lambda_28_r10000
0.1,DPKI,management,1000,331.9246293263138,330.9220484994054,249.7300090212525,248.72742819434404,1.0025808269084577,0.0,9.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_9_lambda_28_r10000
0.1,PKI,cross-domain,900,204.54782222523124,193.91084166705608,209.45599198611208,191.93587899923324,10.431391476878792,7.08872151,9.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_9_lambda_28_r10000
0.1,PKI,intra-pki,8100,59.18409839570331,48.114503407721166,61.4073618492353,47.610905741681286,10.911378547554003,2.8850775599999996,9.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_9_lambda_28_r10000
0.1,PKI,management,1000,172.5003419772648,167.52091900014878,171.3381593245978,166.45685770118237,4.881301623415426,0.0,9.0,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and-DID-platform-Lenovo\chain33-dpki-real-experiment\outputs\real_sweeps\M_experiment\final_same_trace_lambda28_M2_9_r10000_M_9_lambda_28_r10000
