dataKind,epsilon,DPKI_upper_bound,DPKI_lower_bound,DPKI_experimental,PKI_theory,PKI_experimental,lambdaTotalMeasured,pManageMeasured,gammaOnChainMeasured,qManageMeasured,muModelOffchainAuthMeasured,lambdaBlockMeasured,lambdaBlockHeightMeasured,lambdaBlockTxConfirmMeanMs,serviceCAs,pkiMuPrimaryAuthMeasured,pkiQManageMeasured,calibrationScope,PKI_rho
plot_curve,0.12842809364548494,0.09728648346687573,0.06917778803162518,0.08449307173230466,0.0778976997841633,,,,,,,,,,,,,,
plot_curve,0.13043478260869565,0.09739790572196247,0.06919748625833937,0.08456697896314652,0.07815154932085774,,,,,,,,,,,,,,
plot_curve,0.13244147157190633,0.09750949289386761,0.06921727446167465,0.08464092358270253,0.07840567379285947,,,,,,,,,,,,,,
plot_curve,0.13444816053511705,0.09762124498259116,0.06923715264163104,0.0847149055909727,0.07866007320016849,,,,,,,,,,,,,,
plot_curve,0.13645484949832776,0.09773316198813312,0.06925712079820852,0.08478892498795698,0.07891474754278478,,,,,,,,,,,,,,
plot_curve,0.13846153846153844,0.09784524391049348,0.0692771789314071,0.08486298177365544,0.07916969682070836,,,,,,,,,,,,,,
plot_curve,0.14046822742474915,0.09795749074967226,0.06929732704122679,0.08493707594806803,0.07942492103393922,,,,,,,,,,,,,,
plot_curve,0.14247491638795984,0.09806990250566944,0.06931756512766757,0.08501120751119476,0.07968042018247737,,,,,,,,,,,,,,
plot_curve,0.14448160535117055,0.09818247917848504,0.06933789319072944,0.08508537646303564,0.0799361942663228,,,,,,,,,,,,,,
plot_curve,0.14648829431438126,0.09829522076811903,0.06935831123041243,0.08515958280359066,0.08019224328547553,,,,,,,,,,,,,,
plot_curve,0.14849498327759195,0.09840812727457143,0.0693788192467165,0.08523382653285984,0.08044856723993551,,,,,,,,,,,,,,
plot_curve,0.15050167224080266,0.09852119869784225,0.06939941723964169,0.08530810765084317,0.0807051661297028,,,,,,,,,,,,,,
plot_curve,0.15250836120401337,0.09863443503793147,0.06942010520918795,0.08538242615754063,0.08096203995477738,,,,,,,,,,,,,,
plot_curve,0.15451505016722406,0.0987478362948391,0.06944088315535533,0.08545678205295223,0.08121918871515922,,,,,,,,,,,,,,
plot_curve,0.15652173913043477,0.09886140246856513,0.0694617510781438,0.08553117533707799,0.08147661241084836,,,,,,,,,,,,,,
plot_curve,0.15852842809364548,0.09897513355910958,0.06948270897755338,0.08560560600991789,0.08173431104184478,,,,,,,,,,,,,,
plot_curve,0.16053511705685616,0.09908902956647243,0.06950375685358405,0.08568007407147193,0.08199228460814849,,,,,,,,,,,,,,
plot_curve,0.16254180602006688,0.0992030904906537,0.06952489470623582,0.08575457952174012,0.08225053310975948,,,,,,,,,,,,,,
plot_curve,0.1645484949832776,0.09931731633165337,0.06954612253550868,0.08582912236072246,0.08250905654667776,,,,,,,,,,,,,,
plot_curve,0.16655518394648827,0.09943170708947145,0.06956744034140265,0.08590370258841895,0.08276785491890332,,,,,,,,,,,,,,
plot_curve,0.16856187290969898,0.09954626276410793,0.06958884812391772,0.08597832020482958,0.08302692822643615,,,,,,,,,,,,,,
plot_curve,0.17056856187290967,0.09966098335556282,0.06961034588305388,0.08605297520995435,0.08328627646927628,,,,,,,,,,,,,,
plot_curve,0.17257525083612038,0.09977586886383613,0.06963193361881115,0.08612766760379327,0.08354589964742368,,,,,,,,,,,,,,
plot_curve,0.1745819397993311,0.09989091928892783,0.06965361133118951,0.08620239738634633,0.08380579776087838,,,,,,,,,,,,,,
plot_curve,0.17658862876254178,0.10000613463083795,0.06967537902018897,0.08627716455761354,0.08406597080964034,,,,,,,,,,,,,,
plot_curve,0.1785953177257525,0.10012151488956648,0.06969723668580954,0.0863519691175949,0.08432641879370961,,,,,,,,,,,,,,
plot_curve,0.1806020066889632,0.10023706006511342,0.0697191843280512,0.08642681106629041,0.08458714171308616,,,,,,,,,,,,,,
plot_curve,0.18260869565217389,0.10035277015747876,0.06974122194691396,0.08650169040370005,0.08484813956776999,,,,,,,,,,,,,,
plot_curve,0.1846153846153846,0.1004686451666625,0.06976334954239782,0.08657660712982385,0.08510941235776111,,,,,,,,,,,,,,
plot_curve,0.1866220735785953,0.10058468509266466,0.06978556711450278,0.08665156124466178,0.0853709600830595,,,,,,,,,,,,,,
plot_curve,0.188628762541806,0.10070088993548522,0.06980787466322882,0.08672655274821386,0.08563278274366519,,,,,,,,,,,,,,
plot_curve,0.1906354515050167,0.1008172596951242,0.06983027218857599,0.0868015816404801,0.08589488033957815,,,,,,,,,,,,,,
plot_curve,0.19264214046822742,0.10093379437158158,0.06985275969054423,0.08687664792146048,0.0861572528707984,,,,,,,,,,,,,,
plot_curve,0.1946488294314381,0.10105049396485737,0.06987533716913359,0.086951751591155,0.08641990033732594,,,,,,,,,,,,,,
plot_curve,0.19665551839464882,0.10116735847495156,0.06989800462434405,0.08702689264956366,0.08668282273916075,,,,,,,,,,,,,,
