sequence,method,from,serializationWaitMs,estimateGasMs,nonceMs,encodeMs,signMs,submitToHashMs,submitAttempts,submitTimeouts,submitAssumedHash,submitAcceptedByError,lastSubmitError,hashToReceiptMs,receiptPolls,lastReceiptPollError,receiptTotalMs,lockHeldMs,totalMs,gasMode,gasEstimate,gasLimit,gasUsed,nonce,blockNumber,transactionIndex,transactionHash,status,error
14,putDomainRoot,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.004999995231628418,0,0.001999974250793457,0.10500001907348633,0.7654000520706177,2.4916000366210938,1,0,,,,146.85549998283386,10,,149.35670006275177,3.4982999563217163,150.2457000017166,fixed,,800000,44373,93386,4888989,0,0xfd14219c7fd5393f850dc18682191eb872bdc23d085c360274f731f46f4c2981,true,
15,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.003200054168701172,0,0.0016999244689941406,0.30369997024536133,0.6374999284744263,1.9142999649047852,1,0,,,,75.6603000164032,6,,77.58399999141693,2.96589994430542,78.54180002212524,fixed,,800000,189057,93387,4888990,0,0xf4b6be99bc9080dde7766d7f53448f401d55b8a01a6032c0ff861c93b0b9c628,true,
16,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.003600001335144043,0,0.0012999773025512695,0.23629999160766602,0.5470000505447388,1.8813000917434692,1,0,,,,43.91830003261566,4,,45.802900075912476,2.7639999389648438,46.60059988498688,fixed,,800000,189033,93388,4888992,0,0x72a2547c7c7283054123e2c0cd3b272082b9a8f87d5c682f8c32ed3f017ad981,true,
17,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0030999183654785156,0,0.0018999576568603516,0.2977999448776245,0.5509999990463257,1.791599988937378,1,0,,,,27.756100058555603,3,,29.5514999628067,2.735200047492981,30.41479992866516,fixed,,800000,189057,93389,4888993,0,0x9cfdbe235db83c5120e87cf6a45ddcd4630f2a3edfb308bb10421c4911987834,true,
18,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.003800034523010254,0,0.001999974250793457,0.28209996223449707,0.6703000068664551,2.4908000230789185,1,0,,,,58.05259990692139,5,,60.54709994792938,3.5519999265670776,61.5164999961853,fixed,,800000,189045,93390,4888995,0,0x73c82ffd91ed3462379b16e10b4271bc4bae789e111944eadcc8771815115d0c,true,
19,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0042999982833862305,0,0.001999974250793457,0.26459991931915283,0.5616000890731812,2.1963999271392822,1,0,,,,90.05420005321503,7,,92.25450003147125,3.1273999214172363,93.09640002250671,fixed,,800000,189057,93391,4888996,0,0xc370f8832cae11cdbd3e200402fa59e36455eca45958365031a46f7e188bfb00,true,
20,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.003600001335144043,0,0.002000093460083008,0.19040000438690186,0.5575000047683716,1.7239999771118164,1,0,,,,43.085399985313416,4,,44.812999963760376,2.5671000480651855,45.57760000228882,fixed,,800000,189057,93392,4888998,0,0x9c0bdf70773bad4986b14275717d673b61c7e055cdf05c6218ab56cc52881748,true,
21,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.003999948501586914,0,0.001799941062927246,0.19589996337890625,0.5226999521255493,1.7689999341964722,1,0,,,,58.72259998321533,5,,60.495399951934814,2.5846999883651733,61.229599952697754,fixed,,800000,189057,93393,4888999,0,0x1e972ade5b345f46edd26d626e0325191b07136f36e08822ea5cd66a87eb3cee,true,
22,putCertificate,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.003799915313720703,0,0.006599903106689453,0.23750007152557373,0.5312999486923218,2.1570000648498535,1,0,,,,152.38369989395142,11,,154.54439997673035,3.034500002861023,155.33439993858337,fixed,,800000,189057,93394,4889000,0,0x93b3428531757077bc788e4a9968aabb00131cbc2a14dc91f6e796b0a28b102f,true,
23,putDomainRoot,0xab7F5238cbEfB02062241cf979e4994b656FB944,0.0051000118255615234,0,0.003399968147277832,0.06749999523162842,0.7624000310897827,3.101300001144409,1,0,,,,54.605899930000305,5,,57.714499950408936,4.039099931716919,58.561699986457825,fixed,,800000,44373,93395,4889001,0,0xfc3e80f44cda86c9cf837ea7471d5f70f4b60e9492302dcda7ae3443fdbaf74a,true,
