p,DPKI_upper_theory,DPKI_lower_theory,PKI_theory,DPKI_sim,PKI_sim
0.20303030303030306,0.23271381439230243,0.21784537457617498,0.24037372982309008,,
0.20606060606060608,0.23456537943678135,0.21953095833139136,0.24142051164209227,,
0.2090909090909091,0.2364293329946105,0.22122782812685804,0.24246756297575883,,
0.21212121212121215,0.23830578465286656,0.22293608656332983,0.24351488421822684,,
0.21515151515151518,0.24019484533106572,0.22465583748905787,0.2445624757644022,,
0.2181818181818182,0.24209662730147546,0.22638718601880686,0.24561033800996163,,
0.22121212121212125,0.24401124420979894,0.22813023855322104,0.2466584713513544,,
0.22424242424242427,0.24593881109624088,0.22988510279854663,0.24770687618580445,,
0.2272727272727273,0.24787944441696172,0.23165188778671875,0.24875555291131207,,
0.23030303030303031,0.24983326206592948,0.2334307038958197,0.24980450192665585,,
0.23333333333333336,0.25180038339717703,0.235221662870918,0.2508537236313947,,
0.2363636363636364,0.25378092924747475,0.2370248778452948,0.25190321842586944,,
0.2393939393939394,0.25577502195942653,0.23884046336206843,0.25295298671120525,,
0.24242424242424246,0.2577827854049992,0.24066853539622293,0.25400302888931303,,
0.24545454545454548,0.259804345009494,0.24250921137705206,0.2550533453628917,,
0.2484848484848485,0.2618398277759711,0.24436261021102618,0.25610393653542995,,
0.25,,,,0.2607481859621137,0.2569429161299909
0.2515151515151516,0.26388936231013543,0.24622885230509212,0.25715480281120834,,
0.2545454545454546,0.2659530788456962,0.24810805959041543,0.25820594459530094,,
0.25757575757575757,0.2680311092702088,0.2500003555465754,0.25925736229357765,,
0.2606060606060606,0.27012358715141027,0.25190586522622127,0.26030905631270596,,
0.26363636363636367,0.2722306477640603,0.25382471528020223,0.26136102706015285,,
0.2666666666666667,0.274352428117298,0.2557570339831803,0.26241327494418687,,
0.26969696969696977,0.2764890669825263,0.25770295125973686,0.2634658003738801,,
0.27272727272727276,0.278640704921837,0.2596625987109856,0.2645186037591101,,
0.27575757575757576,0.2808074843169862,0.26163610964170103,0.2655716855105619,,
0.2787878787878788,0.28298954939893606,0.2636236190879766,0.26662504603973,,
0.28181818181818186,0.28518704627797214,0.26562526384542234,0.2676786857589203,,
0.2848484848484849,0.28740012297441264,0.2676411824979161,0.26873260508125224,,
0.2878787878787879,0.28962892944992136,0.26967151544692036,0.2697868044206606,,
0.29090909090909095,0.2918736176394382,0.2717164049413775,0.2708412841918978,,
0.29393939393939394,0.29413434148374284,0.273775995108197,0.2718960448105357,,
0.296969696969697,0.2964112569626648,0.2758504319833487,0.2729510866929675,,
0.3,,,,0.2961231823485755,0.27422109260668215
0.3030303030303031,0.3010142971428391,0.2800444397387402,0.2750620159189064,,
0.3060606060606061,0.3033407443072528,0.28216431252482277,0.276117904099326,,
0.30909090909090914,0.3056840281038028,0.2842996358975802,0.277174075217369,,
0.31212121212121213,0.3080443152294413,0.2864505659268872,0.2782305296935667,,
0.3151515151515152,0.31042177463388987,0.2886172607917735,0.2792872679492847,,
0.31818181818181823,0.31281657755782216,0.29079988081617275,0.28034429040672404,,
0.3212121212121213,0.3152288975718283,0.2929985885054022,0.28140159748892385,,
0.3242424242424243,0.31765891061617463,0.2952135485833882,0.28245918961976335,,
0.32727272727272727,0.3201067950413819,0.2974449280306578,0.2835170672239638,,
0.3303030303030303,0.3225727316496403,0.2996928961231128,0.2845752307270906,,
0.33333333333333337,0.3250569037370805,0.3019576244716066,0.2856336805555556,,
0.3363636363636364,0.3275594971369232,0.3042392870623425,0.28669241713661886,,
0.33939393939393947,0.33008070026352654,0.3065380602981136,0.287751440898391,,
0.34242424242424246,0.3326207041573558,0.30885412304040527,0.28881075226983544,,
0.34545454545454546,0.3351797025308956,0.3111876566523804,0.28987035168077013,,
0.3484848484848485,0.3377578918155292,0.31353884504277035,0.29093023956187003,,
0.35,,,,0.33499705938138136,0.29085499451154573
0.35151515151515156,0.34035547120940735,0.3159078747106921,0.2919904163446691,,
0.3545454545454546,0.3429726427263336,0.31829493479141685,0.29305088246156247,,
0.35757575757575766,0.3456096112456882,0.3207002171031115,0.2941116383458084,,
0.3606060606060606,0.3482665845634192,0.3231239161945791,0.29517268443153083,,
0.36363636363636365,0.35094377344412553,0.32556622939402136,0.2962340211537214,,
0.3666666666666667,0.35364139167426023,0.32802735685885037,0.29729564894824123,,
0.36969696969696975,0.3563596561164831,0.3305075016265759,0.29835756825182375,,
0.3727272727272728,0.35909878676518847,0.33300686966679394,0.2994197795020763,,
0.37575757575757585,0.3618590068032429,0.3355256699343063,0.3004822831374827,,
0.3787878787878788,0.36464054265995793,0.3380641144233989,0.30154507959740523,,
0.38181818181818183,0.36744362407033565,0.34062241822330924,0.3026081693220869,,
0.3848484848484849,0.370268484135613,0.3432007995749113,0.3036715527526537,,
0.38787878787878793,0.373115359385144,0.3457994799286533,0.3047352303311169,,
0.390909090909091,0.3759844898396516,0.3484186840037764,0.30579920250037484,,
0.39393939393939403,0.3788761190758849,0.35105863984885055,0.3068634697042158,,
0.396969696969697,0.3817904942927177,0.3537195789036592,0.3079280323873197,,
0.4,0.38472786637873,0.35640173606247183,0.3089928909952607,0.38084674428337434,0.30788804998938313
