M,DPKI_upper_theory,DPKI_lower_theory,PKI_theory
1.6717171717171717,0.2360732539563366,0.22136969985902294,0.28570175438596496
1.7121212121212122,0.2358182364375832,0.2211146823402695,0.28352852852852856
1.7525252525252526,0.23558154535483466,0.22087799125752097,0.2814820213799806
1.792929292929293,0.23536146462003973,0.22065791052272604,0.2795514636449481
1.8333333333333335,0.23515647454562677,0.2204529204483131,0.27772727272727277
1.873737373737374,0.23496522545899,0.2202616713616763,0.2760008936550492
1.9141414141414144,0.23478651536434564,0.22008296126703192,0.27436466492602263
1.9545454545454546,0.234619270957253,0.21991571685993933,0.27281170483460565
1.994949494949495,0.23446253142849455,0.21975897733118088,0.2713358147229115
2.0353535353535355,0.23138143371177336,0.21667787961445967,0.2699313962873285
2.075757575757576,0.23135225760566167,0.21664870350834797,0.2685933806146572
2.1161616161616164,0.23132527808272604,0.21662172398541235,0.26731716705157815
2.1565656565656566,0.2313002920710909,0.2165967379737772,0.26609857035364937
2.1969696969696972,0.2312771186365839,0.21657356453927018,0.2649337748344371
2.2373737373737375,0.23125559621525285,0.21655204211793916,0.2638192944564435
2.2777777777777777,0.23123558023463378,0.2165320261373201,0.26275193798449614
2.3181818181818183,0.23121694106335164,0.21651338696603795,0.26172877846790893
2.358585858585859,0.23119956223889904,0.21649600814158534,0.2607471264367816
2.3989898989898992,0.2311833389318142,0.21647978483450053,0.25980450629555996
2.4393939393939394,0.23116817661134176,0.21646462251402804,0.25889863547758285
2.47979797979798,0.2311539898833007,0.216450435785987,0.25802740599107715
2.5202020202020203,0.23114070147553872,0.21643714737822506,0.2571888680425266
2.560606060606061,0.23112824135020393,0.21642468725289024,0.2563812154696133
2.601010101010101,0.2311165459252643,0.2164129918279506,0.2556027727546715
2.6414141414141414,0.23110555739037092,0.21640200329305725,0.2548519834221433
2.681818181818182,0.23109522310438713,0.21639166900707343,0.2541273996509599
2.7222222222222223,0.23108549506377155,0.21638194096645785,0.25342767295597485
2.762626262626263,0.23107632943257236,0.21637277533525867,0.2527515458122541
2.803030303030303,0.23106768612611,0.21636413202879634,0.2520978441127695
2.8434343434343434,0.23105952844154298,0.21635597434422926,0.2514654703643285
2.883838383838384,0.23105182272945646,0.2163482686321428,0.2508533975387908
2.9242424242424243,0.23104453810141767,0.21634098400410395,0.250260663507109
2.964646464646465,0.23103764616912312,0.21633409207180943,0.24968636599274238
3.005050505050505,0.23089205321264028,0.21618849911532662,0.2491296579887698
3.045454545454546,0.23089112455709032,0.21618757045977663,0.24858974358974362
3.085858585858586,0.23089025484612657,0.21618670074881288,0.2480658741951461
3.1262626262626263,0.23088943964533137,0.21618588554801768,0.2475573450463641
3.166666666666667,0.23088867490475973,0.21618512080744604,0.24706349206349207
3.207070707070707,0.23088795692130004,0.21618440282398632,0.24658368895211003
3.247474747474748,0.23088728230513117,0.21618372820781748,0.2461173445535297
3.287878787878788,0.23088664794978608,0.21618309385247242,0.24566390041493777
3.3282828282828287,0.2308860510053965,0.21618249690808283,0.24522282855843566
3.368686868686869,0.2308854888547469,0.21618193475743322,0.2447936294302378
3.409090909090909,0.23088495909181436,0.21618140499450067,0.24437583001328023
3.44949494949495,0.23088445950251008,0.2161809054051964,0.24396898208824816
3.48989898989899,0.230883988047375,0.2161804339500613,0.24357266062958174
3.5303030303030307,0.23088354284601112,0.21617998874869743,0.24318646232439337
3.570707070707071,0.2308831221630575,0.21617956806574384,0.24281000420344684
3.611111111111111,0.23088272439554242,0.21617917029822875,0.24244292237442924
3.651515151515152,0.23088234806146302,0.2161787939641493,0.2420848708487085
3.691919191919192,0.23088199178946167,0.21617843769214798,0.24173552045362495
3.7323232323232327,0.23088165430948343,0.21617810021216977,0.24139455782312927
3.772727272727273,0.23088133444431158,0.21617778034699786,0.241061684460261
3.8131313131313136,0.23088103110189065,0.21617747700457696,0.2407366158655725
3.853535353535354,0.2308807432683569,0.21617718917104323,0.24041908072614912
3.893939393939394,0.23088047000170356,0.21617691590438987,0.24010882016036655
3.9343434343434347,0.23088021042601797,0.2161766563287043,0.23980558701396756
3.974747474747475,0.23087996372623365,0.21617640962891996,0.23950914520343414
4.015151515151516,0.23087451968833186,0.21617096559101817,0.23921926910299005
4.055555555555555,0.23087449434474078,0.21617094024742708,0.23893574297188758
4.095959595959597,0.2308744704500328,0.2161709163527191,0.2386583604189238
4.136363636363637,0.23087444790847828,0.21617089381116458,0.23838692390139338
4.1767676767676765,0.23087442663150887,0.21617087253419517,0.23812124425592085
4.217171717171718,0.23087440653712035,0.21617085243980666,0.23786114025883176
4.257575757575758,0.23087438754933043,0.21617083345201674,0.23760643821391486
4.2979797979797985,0.23087436959768565,0.21617081550037193,0.23735697156560467
4.338383838383839,0.23087435261681283,0.21617079851949916,0.23711258053577486
4.378787878787879,0.2308743365460108,0.21617078244869714,0.23687311178247736
4.41919191919192,0.23087432132887792,0.21617076723156423,0.23663841807909605
4.45959595959596,0.2308743069129724,0.21617075281565873,0.23640835801250412
4.5,0.23087429324950245,0.21617073915218876,0.23618279569892475
