p,source,model,E_T_total
0.20606060606060608,Theory,DPKI Upper,0.23456537943678135
0.20606060606060608,Theory,DPKI Lower,0.21953095833139136
0.2090909090909091,Theory,PKI FCFS,0.24246756297575883
0.2090909090909091,Theory,DPKI Upper,0.2364293329946105
0.2090909090909091,Theory,DPKI Lower,0.22122782812685804
0.21212121212121215,Theory,PKI FCFS,0.24351488421822684
0.21212121212121215,Theory,DPKI Upper,0.23830578465286656
0.21212121212121215,Theory,DPKI Lower,0.22293608656332983
0.21515151515151518,Theory,PKI FCFS,0.2445624757644022
0.21515151515151518,Theory,DPKI Upper,0.24019484533106572
0.21515151515151518,Theory,DPKI Lower,0.22465583748905787
0.2181818181818182,Theory,PKI FCFS,0.24561033800996163
0.2181818181818182,Theory,DPKI Upper,0.24209662730147546
0.2181818181818182,Theory,DPKI Lower,0.22638718601880686
0.22121212121212125,Theory,PKI FCFS,0.2466584713513544
0.22121212121212125,Theory,DPKI Upper,0.24401124420979894
0.22121212121212125,Theory,DPKI Lower,0.22813023855322104
0.22424242424242427,Theory,PKI FCFS,0.24770687618580445
0.22424242424242427,Theory,DPKI Upper,0.24593881109624088
0.22424242424242427,Theory,DPKI Lower,0.22988510279854663
0.2272727272727273,Theory,PKI FCFS,0.24875555291131207
0.2272727272727273,Theory,DPKI Upper,0.24787944441696172
0.2272727272727273,Theory,DPKI Lower,0.23165188778671875
0.23030303030303031,Theory,PKI FCFS,0.24980450192665585
0.23030303030303031,Theory,DPKI Upper,0.24983326206592948
0.23030303030303031,Theory,DPKI Lower,0.2334307038958197
0.23333333333333336,Theory,PKI FCFS,0.2508537236313947
0.23333333333333336,Theory,DPKI Upper,0.25180038339717703
0.23333333333333336,Theory,DPKI Lower,0.235221662870918
0.2363636363636364,Theory,PKI FCFS,0.25190321842586944
0.2363636363636364,Theory,DPKI Upper,0.25378092924747475
0.2363636363636364,Theory,DPKI Lower,0.2370248778452948
0.2393939393939394,Theory,PKI FCFS,0.25295298671120525
0.2393939393939394,Theory,DPKI Upper,0.25577502195942653
0.2393939393939394,Theory,DPKI Lower,0.23884046336206843
0.24242424242424246,Theory,PKI FCFS,0.25400302888931303
0.24242424242424246,Theory,DPKI Upper,0.2577827854049992
0.24242424242424246,Theory,DPKI Lower,0.24066853539622293
0.24545454545454548,Theory,PKI FCFS,0.2550533453628917
0.24545454545454548,Theory,DPKI Upper,0.259804345009494
0.24545454545454548,Theory,DPKI Lower,0.24250921137705206
0.2484848484848485,Theory,PKI FCFS,0.25610393653542995
0.2484848484848485,Theory,DPKI Upper,0.2618398277759711
0.2484848484848485,Theory,DPKI Lower,0.24436261021102618
0.2515151515151516,Theory,PKI FCFS,0.25715480281120834
0.2515151515151516,Theory,DPKI Upper,0.26388936231013543
0.2515151515151516,Theory,DPKI Lower,0.24622885230509212
0.2545454545454546,Theory,PKI FCFS,0.25820594459530094
0.2545454545454546,Theory,DPKI Upper,0.2659530788456962
0.2545454545454546,Theory,DPKI Lower,0.24810805959041543
0.25757575757575757,Theory,PKI FCFS,0.25925736229357765
0.25757575757575757,Theory,DPKI Upper,0.2680311092702088
0.25757575757575757,Theory,DPKI Lower,0.2500003555465754
0.2606060606060606,Theory,PKI FCFS,0.26030905631270596
0.2606060606060606,Theory,DPKI Upper,0.27012358715141027
0.2606060606060606,Theory,DPKI Lower,0.25190586522622127
0.26363636363636367,Theory,PKI FCFS,0.26136102706015285
0.26363636363636367,Theory,DPKI Upper,0.2722306477640603
0.26363636363636367,Theory,DPKI Lower,0.25382471528020223
0.2666666666666667,Theory,PKI FCFS,0.26241327494418687
0.2666666666666667,Theory,DPKI Upper,0.274352428117298
0.2666666666666667,Theory,DPKI Lower,0.2557570339831803
0.26969696969696977,Theory,PKI FCFS,0.2634658003738801
0.26969696969696977,Theory,DPKI Upper,0.2764890669825263
0.26969696969696977,Theory,DPKI Lower,0.25770295125973686
0.27272727272727276,Theory,PKI FCFS,0.2645186037591101
0.27272727272727276,Theory,DPKI Upper,0.278640704921837
0.27272727272727276,Theory,DPKI Lower,0.2596625987109856
0.27575757575757576,Theory,PKI FCFS,0.2655716855105619
0.27575757575757576,Theory,DPKI Upper,0.2808074843169862
0.27575757575757576,Theory,DPKI Lower,0.26163610964170103
0.2787878787878788,Theory,PKI FCFS,0.26662504603973
0.2787878787878788,Theory,DPKI Upper,0.28298954939893606
0.2787878787878788,Theory,DPKI Lower,0.2636236190879766
0.28181818181818186,Theory,PKI FCFS,0.2676786857589203
0.28181818181818186,Theory,DPKI Upper,0.28518704627797214
0.28181818181818186,Theory,DPKI Lower,0.26562526384542234
0.2848484848484849,Theory,PKI FCFS,0.26873260508125224
0.2848484848484849,Theory,DPKI Upper,0.28740012297441264
0.2848484848484849,Theory,DPKI Lower,0.2676411824979161
0.2878787878787879,Theory,PKI FCFS,0.2697868044206606
0.2878787878787879,Theory,DPKI Upper,0.28962892944992136
0.2878787878787879,Theory,DPKI Lower,0.26967151544692036
0.29090909090909095,Theory,PKI FCFS,0.2708412841918978
0.29090909090909095,Theory,DPKI Upper,0.2918736176394382
0.29090909090909095,Theory,DPKI Lower,0.2717164049413775
0.29393939393939394,Theory,PKI FCFS,0.2718960448105357
0.29393939393939394,Theory,DPKI Upper,0.29413434148374284
0.29393939393939394,Theory,DPKI Lower,0.273775995108197
0.296969696969697,Theory,PKI FCFS,0.2729510866929675
0.296969696969697,Theory,DPKI Upper,0.2964112569626648
0.296969696969697,Theory,DPKI Lower,0.2758504319833487
0.3030303030303031,Theory,PKI FCFS,0.2750620159189064
0.3030303030303031,Theory,DPKI Upper,0.3010142971428391
0.3030303030303031,Theory,DPKI Lower,0.2800444397387402
0.3060606060606061,Theory,PKI FCFS,0.276117904099326
0.3060606060606061,Theory,DPKI Upper,0.3033407443072528
0.3060606060606061,Theory,DPKI Lower,0.28216431252482277
0.30909090909090914,Theory,PKI FCFS,0.277174075217369
0.30909090909090914,Theory,DPKI Upper,0.3056840281038028
0.30909090909090914,Theory,DPKI Lower,0.2842996358975802
0.31212121212121213,Theory,PKI FCFS,0.2782305296935667
0.31212121212121213,Theory,DPKI Upper,0.3080443152294413
0.31212121212121213,Theory,DPKI Lower,0.2864505659268872
0.3151515151515152,Theory,PKI FCFS,0.2792872679492847
0.3151515151515152,Theory,DPKI Upper,0.31042177463388987
0.3151515151515152,Theory,DPKI Lower,0.2886172607917735
0.31818181818181823,Theory,PKI FCFS,0.28034429040672404
0.31818181818181823,Theory,DPKI Upper,0.31281657755782216
0.31818181818181823,Theory,DPKI Lower,0.29079988081617275
0.3212121212121213,Theory,PKI FCFS,0.28140159748892385
0.3212121212121213,Theory,DPKI Upper,0.3152288975718283
0.3212121212121213,Theory,DPKI Lower,0.2929985885054022
0.3242424242424243,Theory,PKI FCFS,0.28245918961976335
0.3242424242424243,Theory,DPKI Upper,0.31765891061617463
0.3242424242424243,Theory,DPKI Lower,0.2952135485833882
0.32727272727272727,Theory,PKI FCFS,0.2835170672239638
0.32727272727272727,Theory,DPKI Upper,0.3201067950413819
0.32727272727272727,Theory,DPKI Lower,0.2974449280306578
0.3303030303030303,Theory,PKI FCFS,0.2845752307270906
0.3303030303030303,Theory,DPKI Upper,0.3225727316496403
0.3303030303030303,Theory,DPKI Lower,0.2996928961231128
0.33333333333333337,Theory,PKI FCFS,0.2856336805555556
0.33333333333333337,Theory,DPKI Upper,0.3250569037370805
0.33333333333333337,Theory,DPKI Lower,0.3019576244716066
0.3363636363636364,Theory,PKI FCFS,0.28669241713661886
0.3363636363636364,Theory,DPKI Upper,0.3275594971369232
0.3363636363636364,Theory,DPKI Lower,0.3042392870623425
0.33939393939393947,Theory,PKI FCFS,0.287751440898391
0.33939393939393947,Theory,DPKI Upper,0.33008070026352654
0.33939393939393947,Theory,DPKI Lower,0.3065380602981136
0.34242424242424246,Theory,PKI FCFS,0.28881075226983544
0.34242424242424246,Theory,DPKI Upper,0.3326207041573558
0.34242424242424246,Theory,DPKI Lower,0.30885412304040527
0.34545454545454546,Theory,PKI FCFS,0.28987035168077013
0.34545454545454546,Theory,DPKI Upper,0.3351797025308956
0.34545454545454546,Theory,DPKI Lower,0.3111876566523804
0.3484848484848485,Theory,PKI FCFS,0.29093023956187003
0.3484848484848485,Theory,DPKI Upper,0.3377578918155292
0.3484848484848485,Theory,DPKI Lower,0.31353884504277035
0.35151515151515156,Theory,PKI FCFS,0.2919904163446691
0.35151515151515156,Theory,DPKI Upper,0.34035547120940735
0.35151515151515156,Theory,DPKI Lower,0.3159078747106921
0.3545454545454546,Theory,PKI FCFS,0.29305088246156247
0.3545454545454546,Theory,DPKI Upper,0.3429726427263336
0.3545454545454546,Theory,DPKI Lower,0.31829493479141685
0.35757575757575766,Theory,PKI FCFS,0.2941116383458084
0.35757575757575766,Theory,DPKI Upper,0.3456096112456882
0.35757575757575766,Theory,DPKI Lower,0.3207002171031115
0.3606060606060606,Theory,PKI FCFS,0.29517268443153083
0.3606060606060606,Theory,DPKI Upper,0.3482665845634192
0.3606060606060606,Theory,DPKI Lower,0.3231239161945791
0.36363636363636365,Theory,PKI FCFS,0.2962340211537214
0.36363636363636365,Theory,DPKI Upper,0.35094377344412553
0.36363636363636365,Theory,DPKI Lower,0.32556622939402136
0.3666666666666667,Theory,PKI FCFS,0.29729564894824123
0.3666666666666667,Theory,DPKI Upper,0.35364139167426023
0.3666666666666667,Theory,DPKI Lower,0.32802735685885037
0.36969696969696975,Theory,PKI FCFS,0.29835756825182375
0.36969696969696975,Theory,DPKI Upper,0.3563596561164831
0.36969696969696975,Theory,DPKI Lower,0.3305075016265759
0.3727272727272728,Theory,PKI FCFS,0.2994197795020763
0.3727272727272728,Theory,DPKI Upper,0.35909878676518847
0.3727272727272728,Theory,DPKI Lower,0.33300686966679394
0.37575757575757585,Theory,PKI FCFS,0.3004822831374827
0.37575757575757585,Theory,DPKI Upper,0.3618590068032429
0.37575757575757585,Theory,DPKI Lower,0.3355256699343063
0.3787878787878788,Theory,PKI FCFS,0.30154507959740523
0.3787878787878788,Theory,DPKI Upper,0.36464054265995793
0.3787878787878788,Theory,DPKI Lower,0.3380641144233989
0.38181818181818183,Theory,PKI FCFS,0.3026081693220869
0.38181818181818183,Theory,DPKI Upper,0.36744362407033565
0.38181818181818183,Theory,DPKI Lower,0.34062241822330924
0.3848484848484849,Theory,PKI FCFS,0.3036715527526537
0.3848484848484849,Theory,DPKI Upper,0.370268484135613
0.3848484848484849,Theory,DPKI Lower,0.3432007995749113
0.38787878787878793,Theory,PKI FCFS,0.3047352303311169
0.38787878787878793,Theory,DPKI Upper,0.373115359385144
0.38787878787878793,Theory,DPKI Lower,0.3457994799286533
0.390909090909091,Theory,PKI FCFS,0.30579920250037484
0.390909090909091,Theory,DPKI Upper,0.3759844898396516
0.390909090909091,Theory,DPKI Lower,0.3484186840037764
0.39393939393939403,Theory,PKI FCFS,0.3068634697042158
0.39393939393939403,Theory,DPKI Upper,0.3788761190758849
0.39393939393939403,Theory,DPKI Lower,0.35105863984885055
0.396969696969697,Theory,PKI FCFS,0.3079280323873197
0.396969696969697,Theory,DPKI Upper,0.3817904942927177
0.396969696969697,Theory,DPKI Lower,0.3537195789036592
0.4,Theory,PKI FCFS,0.3089928909952607
0.4,Theory,DPKI Upper,0.38472786637873
0.4,Theory,DPKI Lower,0.35640173606247183
0.1,Simulation,PKI FCFS,0.20474134017254544
0.1,Simulation,DPKI Real,0.1762811453044793
0.15,Simulation,PKI FCFS,0.2227546203431744
0.15,Simulation,DPKI Real,0.20120023859800118
0.2,Simulation,PKI FCFS,0.23965388067962837
0.2,Simulation,DPKI Real,0.22986568002126156
0.25,Simulation,PKI FCFS,0.2569429161299909
0.25,Simulation,DPKI Real,0.2607481859621137
0.3,Simulation,PKI FCFS,0.27422109260668215
0.3,Simulation,DPKI Real,0.2961231823485755
0.35,Simulation,PKI FCFS,0.29085499451154573
0.35,Simulation,DPKI Real,0.33499705938138136
0.4,Simulation,PKI FCFS,0.30788804998938313
0.4,Simulation,DPKI Real,0.38084674428337434
