epsilon,model,kind,count,originalLatencyMs,originalServiceMs,figLatencyMs,figServiceMs,figQueueMs,figCompensationMs,p,runDir
0.1,DPKI,management,600,282.0833828247998,279.74390716602403,215.25220265680642,212.91272699803113,2.3394756587753,0.0,0.3,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p3_r2000
0.1,PKI,cross-domain,140,198.83458447207266,196.72313285725457,203.93189813807462,194.77377143927984,2.0694051887948133,7.08872151,0.3,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p3_r2000
0.1,PKI,intra-pki,1260,64.48879081591775,58.03253618999133,66.85601472376177,57.516928252625085,6.454008911136685,2.8850775599999996,0.3,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p3_r2000
0.1,PKI,management,600,166.57738167987083,164.83252583295106,165.53922634460812,163.8105706641078,1.7286556805003177,0.0,0.3,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p3_r2000
0.1,DPKI,cross-domain,130,134.6534893556644,129.30810769154476,132.93695397678607,127.59157231266681,5.345381664119262,0.0,0.35,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p35_r2000
0.1,DPKI,intra-off-chain,819,64.05461477447342,64.05461477447342,62.5372971917829,62.5372971917829,0.0,0.0,0.35,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p35_r2000
0.1,DPKI,intra-on-chain,351,131.8354933489599,128.02518689377695,130.30167767976187,126.49137122457863,3.8103064551832153,0.0,0.35,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p35_r2000
0.1,DPKI,management,700,285.7843127961648,282.42125671293053,217.29166951000494,213.92861342677048,3.3630560832344716,0.0,0.35,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p35_r2000
0.1,PKI,cross-domain,130,200.39562585388956,196.0631707723324,205.53794352897768,194.19650308994147,4.252718929036257,7.08872151,0.35,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p35_r2000
0.1,PKI,intra-pki,1170,69.05741226810373,58.7499901709903,71.35586768938758,58.246329998053035,10.224460131334535,2.8850775599999996,0.35,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p35_r2000
0.1,PKI,management,700,168.24495500252362,166.73106671375888,167.22458032478886,165.71396885744164,1.5106114673472386,0.0,0.35,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p35_r2000
0.1,DPKI,cross-domain,120,138.62568057521284,131.42565333396198,137.06783723825413,129.8678099970023,7.200027241251852,0.0,0.4,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p4_r2000
0.1,DPKI,intra-off-chain,756,65.3129249995663,65.3129249995663,63.80168412602137,63.80168412602137,0.0,0.0,0.4,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p4_r2000
0.1,DPKI,intra-on-chain,324,137.1288668511993,130.24208672712615,135.549861300744,128.66308117667097,6.886780124073017,0.0,0.4,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p4_r2000
0.1,DPKI,management,800,288.42253630233427,284.43865212477743,219.66241917958004,215.67853500202298,3.983884177557049,0.0,0.4,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p4_r2000
0.1,PKI,cross-domain,120,204.503697857922,197.65531166692574,209.56826102722985,195.71422249476115,6.765317022468689,7.08872151,0.4,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p4_r2000
0.1,PKI,intra-pki,1080,66.64854814630095,56.85169870307048,68.90486174822912,56.33889759409207,9.68088659413705,2.88507756,0.4,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p4_r2000
0.1,PKI,management,800,165.8724975832871,164.73386325001718,164.82340608365314,163.697302749753,1.1261033339001336,0.0,0.4,C:\Users\admin\Desktop\Blockchain_based DPKI platform\DPKI-and--platform-\dpki-experiment-prototype\outputs\real_sweeps\p_experiment\final_r2000_p_0p4_r2000
